PARAMETER_TYPE|PARAMETER_VALUE|CONFIG_TYPE|CONFIG_VALUE|ATTRIBUTE_NAME1|ATTRIBUTE_VALUE1|ATTRIBUTE_NAME2|ATTRIBUTE_VALUE2|ATTRIBUTE_NAME3|ATTRIBUTE_VALUE3|ACTIVE|DESCRIPTION
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|OLU_ONLY|TEAM|BIAD_HYB1|US_304528_DS150|P1|0|0|Y|CALL
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|OLU_ONLY|TEAM|BIAD_HYB1|US_304528_DS150|P1|0|0|Y|VAE
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|OLU_ONLY|TEAM|BIAD_HYB1|US_304528_DS150|P2|0|0|Y|CALL
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|OLU_ONLY|TEAM|BIAD_HYB1|US_304528_DS152|P1|0|0|Y|CALL
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|OLU_ONLY|TEAM|BIAD_HYB1|US_304528_DS152|P1|0|0|Y|VAE
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|OLU_ONLY|TEAM|BIAD_HYB1|US_304528_DS152|P2|0|0|Y|CALL
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|OLU_ONLY|TEAM|BIAD_HYB1|US_304547_598010|P2|0|0|Y|CALL
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|OLU_ONLY|TEAM|BIAD_HYB2|US_304528_DS150|P1|0|0|Y|CALL
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|OLU_ONLY|TEAM|BIAD_HYB2|US_304528_DS150|P1|0|0|Y|VAE
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|OLU_ONLY|TEAM|BIAD_HYB2|US_304528_DS150|P2|0|0|Y|CALL
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|OLU_ONLY|TEAM|BIAD_HYB2|US_304528_DS152|P1|0|0|Y|CALL
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|OLU_ONLY|TEAM|BIAD_HYB2|US_304528_DS152|P1|0|0|Y|VAE
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|OLU_ONLY|TEAM|BIAD_HYB2|US_304528_DS152|P2|0|0|Y|CALL
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|OLU_ONLY|TEAM|BIAD_HYB2|US_304547_598010|P2|0|0|Y|CALL
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|OLU_ONLY|TEAM|UNAD_HYB|US_304528_DS150|P1|0|0|Y|CALL
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|OLU_ONLY|TEAM|UNAD_HYB|US_304528_DS150|P1|0|0|Y|VAE
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|OLU_ONLY|TEAM|UNAD_HYB|US_304528_DS150|P2|0|0|Y|CALL
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|OLU_ONLY|TEAM|UNAD_HYB|US_304528_DS152|P1|0|0|Y|CALL
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|OLU_ONLY|TEAM|UNAD_HYB|US_304528_DS152|P1|0|0|Y|VAE
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|OLU_ONLY|TEAM|UNAD_HYB|US_304528_DS152|P2|0|0|Y|CALL
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|OLU_ONLY|TEAM|UNAD_HYB|US_304547_598010|P2|0|0|Y|CALL
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|OLU|TEAM|DERM_1|US_304528_DS150|P1|0|0|Y|CALL
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|OLU|TEAM|DERM_1|US_304528_DS150|P1|0|0|Y|VAE
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|OLU|TEAM|DERM_1|US_304528_DS150|P2|0|0|Y|CALL
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|OLU|TEAM|DERM_1|US_304547_598010|P1|0|0|Y|CALL
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|OLU|TEAM|DERM_1|US_304547_598010|P2|0|0|Y|CALL
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|OLU|TEAM|DERM_2|US_304528_DS150|P1|0|0|Y|CALL
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|OLU|TEAM|DERM_2|US_304528_DS150|P1|0|0|Y|VAE
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|OLU|TEAM|DERM_2|US_304528_DS150|P2|0|0|Y|CALL
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|OLU|TEAM|DERM_2|US_304547_598010|P1|0|0|Y|CALL
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|OLU|TEAM|DERM_2|US_304547_598010|P2|0|0|Y|CALL
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|OLU|TEAM|RHEUM_1|US_304528_DS152|P1|0|0|Y|CALL
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|OLU|TEAM|RHEUM_1|US_304528_DS152|P1|0|0|Y|VAE
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|OLU|TEAM|RHEUM_2|US_304528_DS152|P1|0|0|Y|CALL
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|OLU|TEAM|RHEUM_2|US_304528_DS152|P1|0|0|Y|VAE
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|PSA|TEAM|BIAD_HYB1|US_304528_DS150|P1|0|0|Y|CALL
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|PSA|TEAM|BIAD_HYB1|US_304528_DS150|P1|0|0|Y|VAE
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|PSA|TEAM|BIAD_HYB1|US_304528_DS150|P2|0|0|Y|CALL
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|PSA|TEAM|BIAD_HYB1|US_304528_DS152|P2|0|0|Y|CALL
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|PSA|TEAM|BIAD_HYB1|US_304547_598010|P1|0|0|Y|CALL
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|PSA|TEAM|BIAD_HYB1|US_304547_598010|P1|0|0|Y|VAE
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|PSA|TEAM|BIAD_HYB1|US_304547_598010|P2|0|0|Y|CALL
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|PSA|TEAM|BIAD_HYB2|US_304528_DS150|P1|0|0|Y|CALL
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|PSA|TEAM|BIAD_HYB2|US_304528_DS150|P1|0|0|Y|VAE
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|PSA|TEAM|BIAD_HYB2|US_304528_DS150|P2|0|0|Y|CALL
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|PSA|TEAM|BIAD_HYB2|US_304528_DS152|P2|0|0|Y|CALL
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|PSA|TEAM|BIAD_HYB2|US_304547_598010|P1|0|0|Y|CALL
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|PSA|TEAM|BIAD_HYB2|US_304547_598010|P1|0|0|Y|VAE
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|PSA|TEAM|BIAD_HYB2|US_304547_598010|P2|0|0|Y|CALL
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|PSA|TEAM|RHEUM_1|US_304547_598010|P1|0|0|Y|CALL
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|PSA|TEAM|RHEUM_1|US_304547_598010|P1|0|0|Y|VAE
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|PSA|TEAM|RHEUM_2|US_304547_598010|P1|0|0|Y|CALL
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|PSA|TEAM|RHEUM_2|US_304547_598010|P1|0|0|Y|VAE
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|PSA|TEAM|UNAD_HYB|US_304528_DS150|P1|0|0|Y|CALL
BLOCKING_CONSTRAINTS|HCP_TERR|PROD_GROUP|PSA|TEAM|UNAD_HYB|US_304528_DS150|P1|0|0|Y|VAE
