Brand|Content_type|Content_id|name|Message|Description|Message_type|Subcontent|Status|Expiration_date|Vault_Document_ID_vod__c|indication
TRULICITY|P2P||ABBREVIATED - Trulicity®: Once-Weekly Injectable Option for Adults With Type 2 Diabetes|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||ABBREVIATED Once-Weekly Trulicity®: Powerful Efficacy with CV Benefits for Your Patients with Type 2 Diabetes|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Once-Weekly Trulicity®: Proven Benefits for Your Long-term Care Residents with Type 2 Diabetes|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity®: A Non-Insulin Option to Treat Type 2 Diabetes in Long-Term Care Residents|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity®: Once-Weekly Injectable Option for Adults With Type 2 Diabetes|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity CV Webinar - July 14|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity CV Webinar - July 15|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity CV Webinar - July 16|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity CV Webinar - July 21|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity CV Webinar - July 22|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity CV Webinar - July 23|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity CV Webinar - July 28|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity CV Webinar - July 29|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity CV Webinar - July 30|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity CV Webinar - July 8|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity CV Webinar - July 9|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity CV Webinar - June 16|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity CV Webinar - June 18|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity CV Webinar - June 23|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity CV Webinar - June 24|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity CV Webinar - June 25|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity CV Webinar - June 11|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity Product Theater|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||ABBREVIATED DECK CHOOSE GLP1 - Trulicity®: Clinical Considerations When Choosing a GLP-1 RA|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||ABBREVIATED DECK PREFER BASAL - Trulicity®: A Clinical Alternative to Consider Before Initiating Basal Insulin|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||CHOOSE GLP1 - Once-Weekly Trulicity®: A GLP-1 RA Option for Your Adult Patients With Type 2 Diabetes and CV Risk|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||CV - Trulicity®: A Once-Weekly GLP-1 RA for Adults with Type 2 Diabetes and CVD or CV Risk Factors|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||FULL DECK CHOOSE GLP1 - Trulicity®: Clinical Considerations When Choosing a GLP-1 RA|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||FULL DECK CV - Trulicity®: A Detailed Review of the Cardiovascular Outcomes (REWIND) Trial|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||FULL DECK PREFER BASAL - Trulicity®: A Clinical Alternative to Consider Before Initiating Basal Insulin|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Once-Weekly Trulicity®: Proven CV Benefits, Simply Delivered for Your Patients with Type 2 Diabetes|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||PREFER BASAL - Trulicity®: A Once-Weekly Noninsulin Treatment Option for Adults With Type 2 Diabetes and CV Risk|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity CV Webinar - August 11|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity CV Webinar - August 12|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity CV Webinar - August 13|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity CV Webinar - August 18|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity CV Webinar - August 19|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity CV Webinar - August 20|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity CV Webinar - August 26|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity CV Webinar - August 27|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity CV Webinar - August 4|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity CV Webinar - August 5|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity CV Webinar - August 6|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity CV Webinar - June 17|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity CV Webinar - September 1|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity CV Webinar - September 15|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity CV Webinar - September 17|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity CV Webinar - September 2|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity CV Webinar - September 22|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity CV Webinar - September 24|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity CV Webinar - September 8|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity CV Webinar - September 9|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity National Broadcast Q&A (Miller/Watson/Nadeau)|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity National Broadcast Q&A (Nadeau/Watson)|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity National Broadcast Q&A (Watson/Miller)|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity Virtual Presentation|||NA||ACTIVE|12/31/2022||
TRULICITY|P2P||Trulicity® (dulaglutide injection) Virtual Product Theater|||NA||ACTIVE|12/31/2022||
VERZENIO EBC|P2P||Nurse/Pharmacist: Starting and Taking Verzenio® (abemaciclib): Clinical Management of Patients With HR+, HER2- MBC|||NA||ACTIVE|12/31/2022||
VERZENIO EBC|P2P||Considering Prognostic Factors When Using Verzenio® (abemaciclib)|||NA||ACTIVE|12/31/2022||
VERZENIO EBC|P2P||An Individualized Approach: A CDK4 & 6 Inhibitor For Women With Reduced Survival in HR+, HER2- MBC|||NA||ACTIVE|12/31/2022||
VERZENIO EBC|P2P||Starting and Taking Verzenio® (abemaciclib), Clinical Management of Patients With HR+, HER2- MBC|||NA||ACTIVE|12/31/2022||
VERZENIO EBC|P2P||Starting and Taking Verzenio® (abemaciclib): Clinical Management of Patients With HR+, HER2- MBC|||NA||ACTIVE|12/31/2022||
VERZENIO EBC|P2P||Starting and Taking Verzenio®(abemaciclib): Clinical Management of Patients with HR+, HER2- MBC|||NA||ACTIVE|12/31/2022||
VERZENIO EBC|P2P||A CDK 4 & 6 Inhibitor With Overall Survival Data for Women With HR+, HER2- Metastatic Breast Cancer, Including Those Likely To Do Worse   © Lilly USA, LLC 2020. All rights reserved.|||NA||ACTIVE|12/31/2022||
VERZENIO EBC|P2P||A Closer Look at data for Verzenio(R) (abemaciclib)|||NA||ACTIVE|12/31/2022||
VERZENIO EBC|P2P||An Individual Approach A CDK4 & 6 Inhibitor for Women With Reduced Survival in HR+, HER2- MBC|||NA||ACTIVE|12/31/2022||
VERZENIO EBC|P2P||An Individual Approach: A CDK4 & 6 Inhibitor for Women With Redu|||NA||ACTIVE|12/31/2022||
VERZENIO EBC|P2P||An Individualized Approach: A CDK 4 & 6 Inhibitor for Women with Reduced Survival in HR+, HER2- MBC|||NA||ACTIVE|12/31/2022||
VERZENIO EBC|P2P||Starting and Taking Verzenio® (abemaciclib), Clinical Management of Patients With HR+, HER2- MBC|||PATIENT_CUSTOMER_SUPPORT||ACTIVE|12/31/2022||
EMGALITY|P2P||Now is the Time for Patients with Migraine|||GENERAL||ACTIVE|12/31/2022||
EMGALITY|P2P||Migraine Focus: Recognizing, Diagnosis, and Treating Patients With Migraine|||GENERAL||ACTIVE|12/31/2022||
EMGALITY|P2P||Migraine and Cluster Focus: An In-Depth Look at Clinical Trials and Efficacy for Treating Migraine and Episodic Cluster Headache|||GENERAL||ACTIVE|12/31/2022||
