QC_ID,Step_Execution,LOC,File_Dir,File_Name,Delimiter,File_Format,Column_Name,Check_Type,Frequency,Status,Lower_Threshold,Upper_Threshold,Criticality_Flag,Parameter1,Parameter2,Write_Mode,File_Append_Location,Exception_Statement
1,Post,US_FIA,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/01_INPUT_FILES/FI_MASTER_FILES/activitymetric/,activitymetric,",",parquet,orgunit_id,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count(*) from
(select orgunit_id, 
customer_id,
salesforce_id,
user_id,
count(actual_SOA_SENT) as actual_SOA_SENT_cnt,
count(Veeva_SOA_SENT) as Veeva_SOA_SENT_cnt
from (
SELECT   A.orgunit_id
		,A.customer_id
		,upper(A.salesforce_id) AS salesforce_id
		,A.user_id
		,A.SOA_SENT as actual_SOA_SENT
		,max(CASE 
			WHEN B.SOA_SENT IS NULL
				OR B.SOA_SENT = 0
				THEN 0
			ELSE B.SOA_SENT
			END) AS Veeva_SOA_SENT
	FROM 
	(select  a.orgunit_id,	a.product_id,	a.customer_id,	a.salesforce_id,	a.user_id,
a.SOA_SENT, cast(b.end_date as date) as activty_date from src as a
left join
timedata as b on a.time_id=b.time_id
) A
INNER JOIN
  ( SELECT lilly_person_id AS hcp_id ,
           B.product_id_m_prod ,
           max(CASE
                   WHEN upper(channel) = 'SOA_ENGAGED' THEN 1
                   ELSE 0
               END) AS SOA_ENGAGED ,
           NULL AS P2P ,
           max(CASE
                   WHEN upper(channel) = 'HQ_EMAIL_ENGAGED' THEN 1
                   ELSE 0
               END) AS HQ_EMAIL_ENGAGED ,
           max(CASE
                   WHEN upper(channel) = 'SOA_SENT' THEN 1
                   ELSE 0
               END) AS SOA_SENT,
           max(CASE
                   WHEN upper(channel) = 'HQ_EMAIL_SENT' THEN 1
                   ELSE 0
               END) AS HQ_EMAIL_SENT
   FROM
     ( SELECT A.* ,
              m_prod.attr_val AS product_id_m_prod
      FROM
(
SELECT lilly_person_id ,
                      BRND_EMAIL.indctn AS indication_id ,
                      actvy_dt AS activity_date ,
                      CASE
                          WHEN upper(BRND_EMAIL.data_src_cd) IN ('SFMC',
                                                                 'HIBBERT')
                               AND upper(BRND_EMAIL.platform) IN ('SK&A',
                                                                  'LILLY SFMC',
                                                                  'HEALTHLINK SFMC') THEN 'HQ_EMAIL_SENT'
                          WHEN upper(BRND_EMAIL.data_src_cd) IN ('DOXIMITY',
                                                                 'MEDSCAPE',
                                                                 'EPOCRATES',
                                                                 'DOXIMITY')
                               AND upper(BRND_EMAIL.platform) IN ('DOCNEWS ALERT',
                                                                  'BRAND ALERT',
                                                                  'EMAIL',
                                                                  'POINT OF CONTACT',
                                                                  'POC',
                                                                  'DOCALERT') THEN 'SOA_SENT'
                          ELSE 'NA'
                      END AS channel ,
                      msg_type AS message_type ,
                      CASE
                          WHEN upper(BRND_EMAIL.data_src_cd) IN ('SFMC',
                                                                 'HIBBERT') THEN concat(""titled "",max(tactic_description),""."")
                      END AS HQ_TACTIC_TITLE_SENT ,
                      CASE
                          WHEN upper(BRND_EMAIL.data_src_cd) NOT IN ('SFMC',
                                                                     'HIBBERT') THEN concat(""on "",max(primary_category),""."")
                      END AS CONTENT_CATEGORY_SENT ,
                      NULL AS HQ_TACTIC_TITLE_ENGAGED ,
                      NULL AS CONTENT_CATEGORY_ENGAGED ,
                      NULL AS topic
         FROM BRAND_SENT_EMAILS_RAW BRND_EMAIL
         LEFT JOIN cap_extract CAP ON tactic_id = CAP.verso_tactic_id
         WHERE ( upper(actvy_data_type) LIKE '%IMPRESSIONS%'
                OR upper(actvy_data_type) LIKE '%DELIVERED_EM%'
                OR upper(actvy_data_type) LIKE '%VIEWS_HEADLINE%'
                OR upper(actvy_data_type) LIKE '%DELIVERED_AL%'
                OR upper(actvy_data_type) LIKE '%SENT%')
           AND upper(actvy_type) LIKE '%IMPRESSION%'
           AND lilly_person_id IS NOT NULL
         GROUP BY lilly_person_id ,
                  actvy_dt ,
                  BRND_EMAIL.data_src_cd ,
                  BRND_EMAIL.platform ,
                  msg_type ,
                  BRND_EMAIL.indctn ) A
      INNER JOIN
        (SELECT attr_val,
                src_prod_nm
         FROM M_PROD_XREF
         WHERE src_nm ='SOA_ACTIVITY_FI') m_prod
		 ON m_prod.src_prod_nm = upper(A.indication_id)
		  WHERE A.channel <> 'NA' 
		  ) B
   GROUP BY lilly_person_id ,
            product_id_m_prod ) B ON A.customer_id = B.hcp_id
AND upper(B.product_id_m_prod) = upper(A.product_id)

 

group by A.orgunit_id,A.customer_id,upper(A.salesforce_id),A.user_id,A.SOA_sent
        ) M
        group by orgunit_id, customer_id,salesforce_id,user_id
        having count(actual_soa_sent) != count(veeva_soa_sent)
) m",NA,NA,DTT_MONDAY | INACTIVE | There is a mismatch in between the number SOA sent for any HCPs across any product in the searchable universe in comparison to veeva call2 activity.
2,Post,US_FIA,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/01_INPUT_FILES/FI_MASTER_FILES/activitymetric/,activitymetric,",",parquet,orgunit_id,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count(*) from 
(select distinct orgunit_id,Salesforce_id, salesforce_id, user_id,SOA_SENT , start_date, end_date, max_days_diff
from(
    select orgunit_id, customer_id, salesforce_id, user_id,SOA_SENT , min(start_date) as start_date, min(end_date) as end_date,
    datediff(max(start_date),min(start_date)) as max_days_diff  from src a left join timedata b on a.time_id=b.time_id 
     where SOA_SENT =1 
    group by orgunit_id, customer_id, salesforce_id, user_id,SOA_SENT
    )a
 order by max_days_diff desc
 limit 1
 )as b where max_days_diff>235",NA,NA,DTT_MONDAY | INACTIVE | There is an instance of a SOA sent  for any HCPs across any product in the searchable universe which exceed 180 days time period.
3,Post,US_FIA,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/01_INPUT_FILES/FI_MASTER_FILES/user/,user,",",parquet,user_id,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count(*) from 
(select cast( user_id as string) as user_id
from insights
except
select cast( user_id as string) as user_id
from src
)x",NA,NA,"DTT_MONDAY|SUBSET|There are users present in the insight file you are no present in the user file.
"
4,Post,US_FIA,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/01_INPUT_FILES/FI_MASTER_FILES/user/,user,",",parquet,user_id,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count(*) from 
(select cast( user_id as string) as user_id
from activitymetric
except
select cast( user_id as string) as user_id
from src
)x",NA,NA,DTT_MONDAY | SUBSET | Mismatch between activity_metric and users file at user_id levels|IMPACT : The DTT ingestion of activitymetric may fail if there are user_id not present in the users file. Please recheck the respective mappings and source datasets to ensure accuracy.|
5,Post,US_FIA,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/01_INPUT_FILES/FI_MASTER_FILES/customer/,customer,",",parquet,entity_id,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count(*) from 
(select cast( entity_id as string) as entity_id
from insightentitymapping
except
select cast( CUSTOMER_ID as string) as customer_id
from src
)x",NA,NA,DTT_MONDAY | SUBSET | Mismatch between customer and insight entity mapping at customer_id level. | IMPACT : The DTT ingestion of insight entity mapping may fail if there are customers not present in the customers file. Please recheck the respective mappings and source datasets to ensure accuracy.
6,Post,US_FIA,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/01_INPUT_FILES/FI_MASTER_FILES/customer/,customer,",",parquet,entity_id,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count(*) from 
(select cast( CUSTOMER_ID as string) as customer_id
from customerspecialitymapping
except
select cast( CUSTOMER_ID as string) as customer_id
from src
)x",NA,NA,DTT_MONDAY | SUBSET | Mismatch between customerspecialitymapping and customer at customer_id level. | IMPACT: The DTT ingestion of customerspecialitymapping may fail if there are customers not present in the customers file. Please recheck the respective mappings and source datasets to ensure accuracy.
7,Post,US_FIA,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/01_INPUT_FILES/FI_MASTER_FILES/suggestion/,suggestion,",",parquet,suggestion_id,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count(*)
from src
where suggestion_id is null ",NA,NA,DTT_MONDAY | NULL | suggestion_id is null. | IMPACT : Ingestion may fail as this field should not be null as per the app data contract.
8,Post,US_FIA,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/01_INPUT_FILES/FI_MASTER_FILES/suggestioninsightmapping/,suggestioninsightmapping,",",parquet,insight_id,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count(*) from (select cast( insight_id as string) as insight_id
from src
except
select cast( insight_id as string) as insight_id
from insights)x",NA,NA,DTT_MONDAY | SUBSET | Mismatch between suggestioninsightmapping file and insight file at insight_id levels.| IMPACT : The DTT ingestion of suggestioninsightmapping may fail if there are insight_id not present in the insight file. Please recheck the respective mappings and source datasets to ensure accuracy.
9,Post,US_FIA,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/01_INPUT_FILES/FI_MASTER_FILES/insight_metric/,insightmetrics,",",parquet,insight_id,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count(*) from (select cast( insight_id as string) as insight_id
from src
except
select cast( insight_id as string) as insight_id
from insights)x",NA,NA,DTT_MONDAY | SUBSET | Mismatch between insightmetrics file and insight file at insight_id levels.| IMPACT : The DTT ingestion of insightmetrics may fail if there are insight_id not present in the insight file. Please recheck the respective mappings and source datasets to ensure accuracy.
10,Post,US_FIA,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/01_INPUT_FILES/FI_MASTER_FILES/suggestioninsightmapping/,suggestionInsightmapping,",",parquet,insight_id,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count(*) as insight_iD_FALSE from 
(select distinct(insight_id) from src
except
select distinct(insight_id) from insights) as xyz",NA,NA,DTT_MONDAY | SUBSET | Mismatch between suggestionInsightmapping file and insight file at insight_id level.| IMPACT : The DTT ingestion of suggestionInsightmapping may fail if there are insight_id not present in the insight file. Please recheck the respective mappings and source datasets to ensure accuracy.
