QC_ID,Step_Execution,LOC,File_Dir,File_Name,Delimiter,File_Format,Column_Name,Check_Type,Frequency,Status,Lower_Threshold,Upper_Threshold,Criticality_Flag,Parameter1,Parameter2,Write_Mode,File_Append_Location,Exception_Statement
1,Post,US_FIA,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/01_INPUT_FILES/FI_MASTER_FILES/user/,user,",",parquet,user_id,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count(*) from 
(select cast( user_id as string) as user_id
from userorgunitmapping
except
select cast(user_id as string) as user_id
from src
)x",NA,NA,DTT THURSDAY| SUBSET | Mismatch between Userorgunit and user file at user_id level | IMPACT : The DTT ingestion for user orgunit mapping may fail if  there are any users in the file that are not present in users file | Please recheck the respective mappings and source datasets to ensure accuracy
2,Post,US_FIA,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/01_INPUT_FILES/FI_MASTER_FILES/metrics/,customerproductorgunitnumericmetric,",",parquet,entity_id,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count(*) from 
(select cast( CUSTOMER_ID as string) as customer_id
from src
except
select cast( CUSTOMER_ID as string) as customer_id
from customer
)x",NA,NA,DTT THURSDAY| SUBSET | Mismatch between primary_metric (customerorgunitnumericmetric) and customer file at customer_id level| IMPACT : The DTT ingestion for metrics data file may fail if there are any customers in this data file that are not present in the customers file| Please recheck the respective mappings and source datasets to ensure accuracy
3,Post,US_FIA,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/01_INPUT_FILES/FI_MASTER_FILES/customer/,customer,",",parquet,entity_id,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count(*) from 
(select cast( CUSTOMER_ID as string) as customer_id
from customerorgunitmetric
except
select cast( CUSTOMER_ID as string) as customer_id
from src	
)x",NA,NA,DTT THURSDAY| SUBSET | Mismatch between customerorgunitmetric and customer file at customer_id level | IMPACT : The DTT ingestion for customerorgunitmetric file may fail if there are any customers in this data file that are not present in the customers file.| Please recheck the respective mappings and source datasets to ensure accuracy|
4,Post,US_FIA,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/01_INPUT_FILES/FI_MASTER_FILES/suggestedengagements/,suggestedengagements,",",parquet,content_id,Custom_Count_Check,Daily,Inactive,NA,NA,NA,prerequisite condition,"select count(*) from (select cast( external_id as string ) as external_id
from engagementcontent
except
select cast( content_id as string ) as content_id
from src)x",NA,NA,DTT THURSDAY| SUBSET | Mismatch between external_id from engagementcontent and content_id from suggestedengagement file | IMPACT : The DTT ingestion for suggestedengagement file may fail if content_id is not present in engagementcontent. Please recheck the respective mappings and source datasets to ensure accuracy.
5,Post,US_FIA,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/01_INPUT_FILES/FI_MASTER_FILES/customerorgunitmetric/,customerorgunitmetric,",",parquet,orgunit_id,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count(*) AS orgunit_id_customerorgunitmetric_false from ( 
select distinct(orgunit_id) from src
except
select distinct(orgunit_id) from orgunit) AS orgunit_id_customerorgunitmetric_false_TABLE",NA,NA,DTT THURSDAY| SUBSET | Mismatch between customerorgunitmetric and orgunit file at orgunit_id level| IMPACT : The DTT ingestion for customerorgunitmetric file may fail if there are any orgunit in this data file that are not present in the orgunit file. Please recheck the respective mappings and source datasets to ensure accuracy
6,Post,US_FIA,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/01_INPUT_FILES/FI_MASTER_FILES/customerorgunitmetric/,customerorgunitmetric,",",parquet,customer_id,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count(*) AS customer_id_customerorgunitmetric_false from(
select distinct(customer_id) from src
except
select distinct(customer_id) from customer) as customer_id_customerorgunitmetric_false_TABLE",NA,NA,DTT THURSDAY| SUBSET | Mismatch between customerorgunitmetric and customer file at customer_id level| IMPACT : The DTT ingestion for customerorgunitmetric file may fail if there are any customers in this data file that are not present in the customers file. Please recheck the respective mappings and source datasets to ensure accuracy
7,Post,US_FIA,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/01_INPUT_FILES/FI_MASTER_FILES/customerspecialitymapping/,customerspecialitymapping,",",parquet,customer_id,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count(*) AS customer_id_customerspecialitymapping_false from (
select distinct(customer_id) from src
except
select distinct(customer_id) from customer) as customer_id_customerspecialitymapping_false_TABLE",NA,NA,DTT THURSDAY| SUBSET | Mismatch between customerspecialitymapping and customer file at customer_id level| IMPACT : The DTT ingestion for customerspecialitymapping file may fail if there are any customers in this data file that are not present in the customers file. Please recheck the respective mappings and source datasets to ensure accuracy
8,Post,US_FIA,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/01_INPUT_FILES/FI_MASTER_FILES/customerspecialitymapping/,customerspecialitymapping,",",parquet,speciality_id,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count(*) AS speciality_id_customerspecialitymapping_false from (
select distinct(speciality_id) from src
except
select distinct(speciality_id) from speciality) as speciality_id_customerspecialitymapping_false_TABLE",NA,NA,DTT THURSDAY| SUBSET | Mismatch between customerspecialitymapping and speciality file at speciality_id level| IMPACT : The DTT ingestion for customerspecialitymapping file may fail if there is any speciality that are not present in the speciality file. Please recheck the respective mappings and source datasets to ensure accuracy
9,Post,US_FIA,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/01_INPUT_FILES/FI_MASTER_FILES/entitydetailsvisualizationconfiguration/,entitydetailsvisualizationconfiguration,",",parquet,time_grain,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"Select count(*) AS time_grain_entitydetailsvisualizationconfiguration_false from 
(select distinct(time_grain) from src
except
select distinct(GRAIN_TYPE) from timedata) 
as time_grain_entitydetailsvisualizationconfiguration_false_table",NA,NA,DTT THURSDAY| SUBSET | Mismatch between entitydetailsvisualizationconfiguration and timedata file at time_grain level| IMPACT : The DTT ingestion for entitydetailsvisualizationconfiguration file may fail if there is any grain_type that are not present in the timedata file. Please recheck the respective mappings and source datasets to ensure accuracy
10,Post,US_FIA,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/01_INPUT_FILES/FI_MASTER_FILES/alignment/,alignment,",",parquet,customer_id,Custom_Count_Check,Daily,Active,NA,NA,N,prerequisite condition,SELECT COUNT(*) AS NULL_COUNT from src where salesforce_id is null or orgunit_id is null,NA,NA,DTT THURSDAY| NULL | salesforce_id is null| IMPACT : Ingestion may fail as this field should not be null as per the app data contract.
11,Post,US_FIA,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/01_INPUT_FILES/FI_MASTER_FILES/customerspecialitymapping/,customerspecialitymapping,",",parquet,customer_id,Custom_Count_Check,Daily,Active,NA,NA,N,prerequisite condition,SELECT COUNT(*) AS NULL_COUNT from src where Customer_Id is null or speciality_id is null,NA,NA,DTT THURSDAY| NULL | Customer_Id is null| IMPACT : Ingestion may fail as this field should not be null as per the app data contract.
12,Post,US_FIA,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/01_INPUT_FILES/FI_MASTER_FILES/filterconfiguration/,filterconfiguration,",",parquet,Filter_section_id,Custom_Count_Check,Daily,Active,NA,NA,N,prerequisite condition,SELECT COUNT(*) AS NULL_COUNT FROM src WHERE Filter_section_id IS NULL,NA,NA,DTT THURSDAY| NULL | Filter_section_id is null| IMPACT : Ingestion may fail as this field should not be null as per the app data contract.
