Product|brand_indication|segment|speciality|affinity_segment|affinity_type|Dimension_type|Dimension_Value|Min_Allowed|Max_Allowed|Active
US_304486|US_304486|Critical|SPEC|VH|CALL|DIMENSION_1|F2F_CALL|6|12|Y
US_304486|US_304486|Critical|SPEC|H|CALL|DIMENSION_1|F2F_CALL|5|10|Y
US_304486|US_304486|Critical|SPEC|M|CALL|DIMENSION_1|F2F_CALL|4|7|Y
US_304486|US_304486|Critical|SPEC|L|CALL|DIMENSION_1|F2F_CALL|2|5|Y
US_304486|US_304486|Critical|SPEC|VL|CALL|DIMENSION_1|F2F_CALL|1|2|Y
US_304486|US_304486|Critical|SPEC|NA|CALL|DIMENSION_1|F2F_CALL|0|0|Y
US_304486|US_304486|Critical|PCP|VH|CALL|DIMENSION_1|F2F_CALL|6|12|Y
US_304486|US_304486|Critical|PCP|H|CALL|DIMENSION_1|F2F_CALL|5|10|Y
US_304486|US_304486|Critical|PCP|M|CALL|DIMENSION_1|F2F_CALL|4|7|Y
US_304486|US_304486|Critical|PCP|L|CALL|DIMENSION_1|F2F_CALL|2|5|Y
US_304486|US_304486|Critical|PCP|VL|CALL|DIMENSION_1|F2F_CALL|1|2|Y
US_304486|US_304486|Critical|PCP|NA|CALL|DIMENSION_1|F2F_CALL|0|0|Y
US_304486|US_304486|Critical|BOTH|VH|CALL|DIMENSION_1|F2F_CALL|6|12|Y
US_304486|US_304486|Critical|BOTH|H|CALL|DIMENSION_1|F2F_CALL|5|10|Y
US_304486|US_304486|Critical|BOTH|M|CALL|DIMENSION_1|F2F_CALL|4|7|Y
US_304486|US_304486|Critical|BOTH|L|CALL|DIMENSION_1|F2F_CALL|2|5|Y
US_304486|US_304486|Critical|BOTH|VL|CALL|DIMENSION_1|F2F_CALL|1|2|Y
US_304486|US_304486|Critical|BOTH|NA|CALL|DIMENSION_1|F2F_CALL|0|0|Y
US_304486|US_304486|High|SPEC|VH|CALL|DIMENSION_1|F2F_CALL|6|12|Y
US_304486|US_304486|High|SPEC|H|CALL|DIMENSION_1|F2F_CALL|5|10|Y
US_304486|US_304486|High|SPEC|M|CALL|DIMENSION_1|F2F_CALL|4|7|Y
US_304486|US_304486|High|SPEC|L|CALL|DIMENSION_1|F2F_CALL|2|5|Y
US_304486|US_304486|High|SPEC|VL|CALL|DIMENSION_1|F2F_CALL|1|2|Y
US_304486|US_304486|High|SPEC|NA|CALL|DIMENSION_1|F2F_CALL|0|0|Y
US_304486|US_304486|High|PCP|VH|CALL|DIMENSION_1|F2F_CALL|6|12|Y
US_304486|US_304486|High|PCP|H|CALL|DIMENSION_1|F2F_CALL|5|10|Y
US_304486|US_304486|High|PCP|M|CALL|DIMENSION_1|F2F_CALL|4|7|Y
US_304486|US_304486|High|PCP|L|CALL|DIMENSION_1|F2F_CALL|2|5|Y
US_304486|US_304486|High|PCP|VL|CALL|DIMENSION_1|F2F_CALL|1|2|Y
US_304486|US_304486|High|PCP|NA|CALL|DIMENSION_1|F2F_CALL|0|0|Y
US_304486|US_304486|High|BOTH|VH|CALL|DIMENSION_1|F2F_CALL|6|12|Y
US_304486|US_304486|High|BOTH|H|CALL|DIMENSION_1|F2F_CALL|5|10|Y
