topic,message_type
ABBREVIATED - Trulicity®: Once-Weekly Injectable Option for Adults With Type 2 Diabetes,GENERAL
ABBREVIATED Once-Weekly Trulicity®: Powerful Efficacy with CV Benefits for Your Patients with Type 2 Diabetes,PRODUCT_ATTRIBUTES
Once-Weekly Trulicity®: Proven Benefits for Your Long-term Care Residents with Type 2 Diabetes,GENERAL
Trulicity®: A Non-Insulin Option to Treat Type 2 Diabetes in Long-Term Care Residents,GENERAL
Trulicity®: Once-Weekly Injectable Option for Adults With Type 2 Diabetes,GENERAL
Trulicity CV Webinar - July 14,PRODUCT_ATTRIBUTES
Trulicity CV Webinar - July 15,PRODUCT_ATTRIBUTES
Trulicity CV Webinar - July 16,PRODUCT_ATTRIBUTES
Trulicity CV Webinar - July 21,PRODUCT_ATTRIBUTES
Trulicity CV Webinar - July 22,PRODUCT_ATTRIBUTES
Trulicity CV Webinar - July 23,PRODUCT_ATTRIBUTES
Trulicity CV Webinar - July 28,PRODUCT_ATTRIBUTES
Trulicity CV Webinar - July 29,PRODUCT_ATTRIBUTES
Trulicity CV Webinar - July 30,PRODUCT_ATTRIBUTES
Trulicity CV Webinar - July 8,PRODUCT_ATTRIBUTES
Trulicity CV Webinar - July 9,PRODUCT_ATTRIBUTES
Trulicity CV Webinar - June 16,PRODUCT_ATTRIBUTES
Trulicity CV Webinar - June 18,PRODUCT_ATTRIBUTES
Trulicity CV Webinar - June 23,PRODUCT_ATTRIBUTES
Trulicity CV Webinar - June 24,PRODUCT_ATTRIBUTES
Trulicity CV Webinar - June 25,PRODUCT_ATTRIBUTES
Trulicity CV Webinar- June 11,PRODUCT_ATTRIBUTES
"A CDK 4 & 6 Inhibitor for Women with HR+, HER2- MBC including those with Concerning Clinical Characteristics",GENERAL
"Clinical Considerations For Patients With HR+, HER2- MBC For Whom a CDK4 & 6 Inhibitor May Be Appropriate",GENERAL
Considering Prognostic Factors When Using Verzenio® (abemaciclib),GENERAL
"Nurse/Pharmacist -A CDK 4 & 6 Inhibitor for Women with HR+, HER2- MBC including those with Concerning Clinical Characteristics",GENERAL
"Nurse/Pharmacist: Starting and Taking Verzenio® (abemaciclib): Clinical Management of Patients With HR+, HER2- MBC",GENERAL
"Verzenio: Helping Raise the Bar in HR+, HER- MBC",GENERAL
Now is the Time for Patients with Migraine,GENERAL
"Migraine Focus: Recognizing, Diagnosis, and Treating Patients With Migraine",GENERAL
Migraine and Cluster Focus: An In-Depth Look at Clinical Trials and Efficacy for Treating Migraine and Episodic Cluster Headache,GENERAL
Cluster Focus: Examining the Unique Challenges of Diagnosing and Treating Episodic Cluster Headache,GENERAL
Their Time is Now (Cluster & Migraine),GENERAL
Migraine Focus,GENERAL
Migraine and Cluster Focus,GENERAL
Emgality: Discover the Possibilities,GENERAL
"Core Deck - What Sets Taltz Apart: An Overview of Efficacy, Safety and Head to Head Data",GENERAL
An Overview of the Taltz Enhanced Clear Access Program - Q1 2020 Update,PATIENT_CUSTOMER_SUPPORT
"Abbreviated - What Do Patients Want: An Overview of Efficacy, Safety and Head to head Data vs. Tremfya",GENERAL
2020 Rheumatology Patient Access and Support,PATIENT_CUSTOMER_SUPPORT
Head-to-Head Clinical Trial Data Through 52 Weeks: Taltz vs Humira (Adalimumab),GENERAL
An IL-17A Antagonist Providing a Different Option for the Treatment of Ankylosing Spondylitis (AS),GENERAL
Exploring Treatment Options for Rheumatic Diseases,GENERAL
A Quick Look at Taltz: An IL-17A Antagonist for the Treatment of Ankylosing Spondylitis (AS),GENERAL
A Different IL-17A Antagonist for The Treatment of Psoriatic Arthritis and Ankylosing Spondylitis,GENERAL
Core Deck: What Sets Taltz Apart - now featuring 5-year data,GENERAL
Head to Head Clinical Data: Taltz vs. Humira,GENERAL
Rheumatology: Head-to-Head Clinical Trial Data: Taltz vs Humira,GENERAL
Abbreviated PsO Target Deck: Taltz: Uncover the Results,GENERAL
An Overview of the Taltz Enhanced Clear Access Program,PATIENT_CUSTOMER_SUPPORT
Patient Target Deck “What Do Patients Want”,UNMET_NEED
PsA Target Deck: Head-to-Head Psoriatic Arthritis Clinical Trial Data,GENERAL
An IL-17A Antagonist to Treat Across the Spectrum of axSpA (AS and nr-axSpA),GENERAL
What Sets Taltz Apart: Featuring Data on New Patient Population- Peds,GENERAL
What Sets Taltz Apart: Featuring Data on New Patient Population,GENERAL
AN IL-17A ANTAGONIST to Treat Across the Spectrum of axSA (AS and nr-axSpA),GENERAL
PsA H2H Humira Target Deck,GENERAL
Core Deck + Pediatrics Chapter,GENERAL
Core Deck + H2H Tremfya Chapter,GENERAL
Head-To-Head Psoriatic Arthritis Clinical Trial Data: An IL-17A Antagonist vs HUMIRA (adalimumab),GENERAL
What Sets Taltz Apart?,GENERAL
Core Deck + Recapture Chapter,GENERAL
What Sets Taltz Apart? plus Pediatrics Chapter,GENERAL
Explore Taltz in PsA: The Power of Choice,GENERAL
Core Deck + PsA Chapter,GENERAL
An IL-17A Antagonist to Treat Across the Spectrum of axSpA,GENERAL
Core Deck- no additional Chapter,GENERAL
An Overview of the Taltz Enhanced Clear Access Program - Q3 2020,PATIENT_CUSTOMER_SUPPORT
What Sets Taltz Apart: An Overview of Long-Term Efficacy and Safety,GENERAL
What Sets Taltz Apart:  An Overview of Long-Term Efficay and Safety,GENERAL
What Sets Taltz Apart: An Overview of Long Term Efficacy and Safety Featuring Data in New Patient Population,GENERAL
A Different IL-17A Antagonist for the Treatment of Psoriatic Arthritis and Axial Spondyloarthritis,GENERAL
Head-to-Head Clinical Trial Data Taltz vs Humira(adalimumab) deck,GENERAL
What Sets Taltz Apart?  An Overview of Long-Term Efficay and Safety,GENERAL
A Different IL-17A Antagonist for the Treatment of Psoriatic Arthritis and Axial Sondyloarthritis,GENERAL
An IL-17A Antagonist Providing A Different Option For the Treatment of Ankylosing Spondylitis,GENERAL
An IL-17A Antagonist to Treatment Across the Spectrum of axSpA,GENERAL
Understanding Axial Spondyloarthritis: A practical approach to understanding the disease,GENERAL
What Sets Taltz Apart: An Overview of Long-Term Safety and Efficacy Featuring Data in New Patient Population,GENERAL
What Sets Taltz Apart? An Overview of Long-Term Efficacy and Safety,GENERAL
What Sets Taltz Apart? An Overview Of Long-Term Efficacy and Safety. Featuring Data in New Patient Population,GENERAL
What Sets Taltz Apart?  An Overview of Long-Term Efficacy and Safety,GENERAL
What Sets Taltz Apart: An Overview of Long-Term Safety and Efficacy-Featuring Data in? New Patient Population?,GENERAL
"What Sets Taltz Apart? AN OVERVIEW OF LONG-TERM EFFICACY & SAFETY, Featuring Data in New Patient Population + Ped Chapter",GENERAL
What Sets Taltz Apart: An Overview of Long-Term Safety and Efficacy,GENERAL
What Sets Talts Apart: An Overview of Long-Term Efficacy and Safety,GENERAL
An Overview of the Taltz Enhanced Clear Access Program - Q4 2020 Update,PATIENT_CUSTOMER_SUPPORT
A Different IL-17a Antagonist for the Treatment of Psoriatic Artritis and Axial Spondyloarthritis (PP-IX-US-3842),GENERAL
"What Sets Taltz Apart? AN OVERVIEW OF LONG-TERM EFFICACY AND SAFETY, Featuring Data in New Pateient Population + Ped Chapter",GENERAL
Rheumatology Patient Access and Support,PATIENT_CUSTOMER_SUPPORT
What Sets Taltz Apart: An Overview of Long-Term Efficay and Safety,GENERAL
Discover the Taltz Difference-Virtual Deck,GENERAL
A Different IL-17A Antagonist for the Treatment of Psoriatic Arthritis and Axial Spondyloarthritis PP-IX-US-384,GENERAL
What Sets Taltz Apart? An Overview Of LongTerm Efficacy and Safety + Pediatric Chapter.,GENERAL
What Sets Taltz Apart? An Overview of Long-Term Efficacy & Safety,GENERAL
What Sets Taltz Apart? An Overview of Long Term Safety,GENERAL
Understanding Axial Spondyloarthritis:  A practical approach to understanding the disease,GENERAL
Patient Target Deck â€œWhat Do Patients Wantâ€,UNMET_NEED
Core Deck + no additional Chapter (4547),GENERAL
Core Deck + H2H Tremfya Chapter (4547),GENERAL
Core Deck + PsA Chapter (4547),GENERAL
Core Deck + Pediatrics Chapter (4547),GENERAL
Taltz: See the Difference - An Overview of Long-Term Efficacy and Safety,GENERAL
Core Deck + Recapture Chapter (4547),GENERAL
See the Difference - An Overview of Long-Term Efficacy and Safety,GENERAL
Taltz: See the Difference,GENERAL
Taltz: A COAST-to-COAST Treatment for the Spectrum of axSpA (AS and nr-axSpA),GENERAL
Taltz: The SPIRIT of Discovery in PsA,GENERAL
Taltz Spotlight Session: 6 Clinical trials Spanning 3 Indications,GENERAL
Examine Taltz: A Review of Real-World Patient Cases,GENERAL
Understanding Axial Spondyloarthritis: A Practical Approach to Understanding the Disease.,GENERAL
Review of Taltz Real World Patient Cases,GENERAL
topic,message_type
Taltz:  See the Difference  An Overview of Long-term Efficacy and Safety,GENERAL
See the Difference  An Overview of Long-term Efficacy and Safety,GENERAL
See the Difference -An Overview of Long-Term Efficacy and Safety,GENERAL
Taltz- See the Difference,GENERAL
Examine Taltz – A Review of Real-World Patient Cases,GENERAL
Taltz Spotlight Session: 6 Clinical Trials Spanning 8 Indications,GENERAL
Nurse/Pharmacist: Starting and Taking Verzenio® (abemaciclib): Clinical Management of Patients With HR+, HER2- MBC,SAFETY
Considering Prognostic Factors When Using Verzenio® (abemaciclib),EFFICACY
An Individualized Approach: A CDK4 & 6 Inhibitor For Women With Reduced Survival in HR+, HER2- MBC,EFFICACY
Starting and Taking Verzenio® (abemaciclib), Clinical Management of Patients With HR+, HER2- MBC,EFFICACY
Starting and Taking Verzenio® (abemaciclib): Clinical Management of Patients With HR+, HER2- MBC,SAFETY
Starting and Taking Verzenio®(abemaciclib): Clinical Management of Patients with HR+, HER2- MBC,SAFETY
A CDK 4 & 6 Inhibitor With Overall Survival Data for Women With HR+, HER2- Metastatic Breast Cancer, Including Those Likely To Do Worse   © Lilly USA, LLC 2020. All rights reserved.,SAFETY
A Closer Look at data for Verzenio(R) (abemaciclib),EFFICACY
Retevmo Selpercatinib: The Precision Oncology Treatment Specifically for Patients with Certain  RET-Driven  Cancers,GENERAL
Retevmo Selpercatinib: The Precision Oncology Treatment Specifically for Patients with Certain  RET-Driven Cancers,GENERAL
Retevmo Selpercatinib: The Precision Oncology Treatment Specifically for Patients with Certain RET-Driven Cancers,GENERAL
Retevmo™ (selpercatinib): The First Precision Oncology Treatment Specifically for Patients with Certain RET-Driven Cancers,GENERAL
Retevmo® (selpercatinib) A precision-based therapy for certain RET-driven cancers,GENERAL
TAKE ACTION: Tailored Treatment Options for Patients With Certain Actionable Genomic Alterations in mNSCLC,GENERAL
The First Precision Oncology Treatment Specifically for Patients with Certain RET-Driven Cancers,GENERAL
"Once-Weekly Trulicity®: Proven CV Benefits, Simply Delivered for Your Patients with Type 2 Diabetes",GENERAL
PREFER BASAL - Trulicity®: A Once-Weekly Noninsulin Treatment Option for Adults With Type 2 Diabetes and CV Risk,GENERAL
CHOOSE GLP1 - Once-Weekly Trulicity®: A GLP-1 RA Option for Your Adult Patients With Type 2 Diabetes and CV Risk,GENERAL
Once-Weekly Trulicity®: For Your Long-Term Care Residents with Type 2 Diabetes,GENERAL
ABBREVIATED DECK PREFER BASAL - Trulicity®: A Clinical Alternative to Consider Before Initiating Basal Insulin,GENERAL
ABBREVIATED DECK CV - Trulicity®: A Detailed Review of the Cardiovascular Outcomes (REWIND) Trial,GENERAL
Trulicity LTC Virtual Presentation,GENERAL
Trulicity®: A Detailed Review of the Cardiovascular Outcomes (REWIND) Trial (abbreviated),GENERAL
FULL DECK SLIDE DECK_TRULICITY CHOOSE GLP-1_Clinical Considerations When Choosing a GLP-1 RA (PP-DG-US-3835),GENERAL
Trulicity®: Clinical Considerations When Choosing a GLP-1 RA (PP-DG-US-3835),GENERAL
Trulicity®: A Clinical Alternative to Consider Before Initiating Basal Insulin,GENERAL
