product|indication|actvy_strt_dt|content
TALTZ_PSORIASIS|DERM|2023-03-17|AAD
TALTZ_PSORIASIS|DERM|2023-03-18|AAD
TALTZ_PSORIASIS|DERM|2023-03-19|AAD
TALTZ_PSORIASIS|DERM|2023-03-20|AAD
TALTZ_PSORIASIS|DERM|2023-03-21|AAD
TALTZ_PSORIASIS|DERM|2023-01-23|Maui Derm
TALTZ_PSORIASIS|DERM|2023-01-24|Maui Derm
TALTZ_PSORIASIS|DERM|2023-01-25|Maui Derm
TALTZ_PSORIASIS|DERM|2023-01-26|Maui Derm
TALTZ_PSORIASIS|DERM|2023-01-27|Maui Derm
TALTZ_PSORIATIC ARTHRITIS|RHEUM|2023-02-13|
TALTZ_PSORIATIC ARTHRITIS|RHEUM|2023-02-14|
TALTZ_PSORIATIC ARTHRITIS|RHEUM|2023-02-15|
TALTZ_PSORIATIC ARTHRITIS|RHEUM|2023-05-06|
TALTZ_PSORIATIC ARTHRITIS|RHEUM|2023-05-07|
TALTZ_PSORIATIC ARTHRITIS|RHEUM|2023-05-08|
TALTZ_PSORIATIC ARTHRITIS|RHEUM|2023-05-09|
TALTZ_PSORIATIC ARTHRITIS|RHEUM|2023-05-10|
