Product,brand_indication,Segment,Dimension,Dimension_Value,Min,Max,Active
TRU,TRU,Critical,Dimension1,F2F_CALL,6,18,Y
TRU,TRU,Critical,Dimension1,VEEVA_EMAIL,4,8,Y
TRU,TRU,Critical,Dimension1,HQ_EMAIL,2,4,Y
TRU,TRU,Critical,Dimension1,DOXIMITY_ALERT,4,12,Y
TRU,TRU,Critical,Dimension1,MEDSCAPE_ALERT,2,12,Y
TRU,TRU,Critical,Dimension1,MEDSCAPE_EMAIL,4,12,Y
TRU,TRU,Critical,Dimension1,HEALTHCASTS,0,0,Y
TRU,TRU,Critical,Dimension1,P2P,0,0,Y
TRU,TRU,Critical,Dimension1,EPOCRATES_ALERT,0,0,Y
TRU,TRU,High,Dimension1,F2F_CALL,6,18,Y
TRU,TRU,High,Dimension1,VEEVA_EMAIL,4,8,Y
TRU,TRU,High,Dimension1,HQ_EMAIL,2,4,Y
TRU,TRU,High,Dimension1,DOXIMITY_ALERT,4,12,Y
TRU,TRU,High,Dimension1,MEDSCAPE_ALERT,2,12,Y
TRU,TRU,High,Dimension1,MEDSCAPE_EMAIL,4,12,Y
TRU,TRU,High,Dimension1,HEALTHCASTS,0,0,Y
TRU,TRU,High,Dimension1,P2P,0,0,Y
TRU,TRU,High,Dimension1,EPOCRATES_ALERT,0,0,Y
TRU,TRU,Medium,Dimension1,F2F_CALL,6,12,Y
TRU,TRU,Medium,Dimension1,VEEVA_EMAIL,4,8,Y
TRU,TRU,Medium,Dimension1,HQ_EMAIL,2,4,Y
TRU,TRU,Medium,Dimension1,DOXIMITY_ALERT,4,12,Y
TRU,TRU,Medium,Dimension1,MEDSCAPE_ALERT,2,12,Y
TRU,TRU,Medium,Dimension1,MEDSCAPE_EMAIL,4,12,Y
TRU,TRU,Medium,Dimension1,HEALTHCASTS,0,0,Y
TRU,TRU,Medium,Dimension1,P2P,0,0,Y
TRU,TRU,Medium,Dimension1,EPOCRATES_ALERT,0,0,Y
TRU,TRU,Low,Dimension1,F2F_CALL,0,10,Y
TRU,TRU,Low,Dimension1,VEEVA_EMAIL,4,8,Y
TRU,TRU,Low,Dimension1,HQ_EMAIL,2,4,Y
TRU,TRU,Low,Dimension1,DOXIMITY_ALERT,4,12,Y
TRU,TRU,Low,Dimension1,MEDSCAPE_ALERT,2,12,Y
TRU,TRU,Low,Dimension1,MEDSCAPE_EMAIL,4,12,Y
TRU,TRU,Low,Dimension1,HEALTHCASTS,0,0,Y
TRU,TRU,Low,Dimension1,P2P,0,0,Y
TRU,TRU,Low,Dimension1,EPOCRATES_ALERT,0,0,Y
TRU,TRU,Unknown,Dimension1,F2F_CALL,0,0,Y
TRU,TRU,Unknown,Dimension1,VEEVA_EMAIL,0,0,Y
TRU,TRU,Unknown,Dimension1,HQ_EMAIL,0,0,Y
TRU,TRU,Unknown,Dimension1,DOXIMITY_ALERT,4,12,Y
TRU,TRU,Unknown,Dimension1,MEDSCAPE_ALERT,2,12,Y
