SOURCE_NAME|SOURCE_PRODUCT_NAME|TARGET_NAME|TARGET_PRODUCT_NAME|ATTRIBUTE_NAME1|ATTRIBUTE_VALUE1|BUSINESS_UNIT|ACTIVE
ACCESS_AFFINITY|TALTZ|ZS|TALTZ|PROD_SK|US_304528_DS152|BMBU|Y
ACCESS_AFFINITY|TALTZ|ZS|TALTZ|PROD_SK|US_304528_DS150|BMBU|Y
ACCESS_AFFINITY|OLUMIANT|ZS|OLUMIANT|PROD_SK|US_304547_598010|BMBU|N
CAP|TALTZ|ZS|TALTZ_PSORIASIS|PROD_SK|US_304528_DS150|BMBU_IMM|Y
CAP|TALTZ|ZS|TALTZ_PSORIATIC ARTHRITIS|PROD_SK|US_304528_DS152|BMBU_IMM|Y
HIBBERT|TALTZ|ZS|TALTZ|PROD_SK|US_304528_DS152|BMBU_IMM|Y
HIBBERT|TALTZ|ZS|TALTZ|PROD_SK|US_304528_DS150|BMBU_IMM|Y
HIBBERT|OLUMIANT|ZS|OLUMIANT|PROD_SK|US_304547_598010|BMBU_IMM|N
OLUM_AD_TGT|US_304547_420004|ZS|OLUMIANT|PROD_SK|US_304547_420004|BMBU_IMM|N
OLUM_RA_TGT|US_304547_DS158|ZS|OLUMIANT|PROD_SK|US_304547_DS158|BMBU_IMM|N
SOA_BRAND_EMAILS|TALTZ_PSORIASIS|ZS|TALTZ_PSORIASIS|PROD_SK|US_304528_DS150|BMBU_IMM|Y
SOA_BRAND_EMAILS|TALTZ_PSORIATIC ARTHRITIS|ZS|TALTZ_PSORIATIC ARTHRITIS|PROD_SK|US_304528_DS152|BMBU_IMM|Y
SOA_BRAND_EMAILS|TALTZ|ZS|TALTZ|PROD_SK|US_304528_DS152|BMBU_IMM|Y
SOA_BRAND_EMAILS|TALTZ|ZS|TALTZ|PROD_SK|US_304528_DS150|BMBU_IMM|Y
TALTZ_PSA_AS_NRAXSPA_TGT|US_304528_DS152|ZS|TALTZ|PROD_SK|US_304528_DS152|BMBU_IMM|Y
TALTZ_PSO_TGT|US_304528_DS150|ZS|TALTZ|PROD_SK|US_304528_DS150|BMBU_IMM|Y
TEAM_RESP_CD|USV8_US_304528|ZS|TALTZ|PROD_SK|US_304528_DS152|BMBU_IMM|Y
TEAM_RESP_CD|USV8_US_304528|ZS|TALTZ|PROD_SK|US_304528_DS150|BMBU_IMM|Y
TEAM_RESP_CD|USV4_US_304528|ZS|TALTZ|PROD_SK|US_304528_DS150|BMBU_IMM|Y
