PARAMETER_TYPE|PARAMETER_VALUE|CONFIG_TYPE|CONFIG_VALUE|ATTRIBUTE_NAME1|ATTRIBUTE_VALUE1|ACTIVE|DESCRIPTION|ATTRIBUTE_NAME2|ATTRIBUTE_VALUE2|ATTRIBUTE_NAME3|ATTRIBUTE_VALUE3
BU MAPPING||US1J|US_BMBU_IMM|||N|BU MAPPIING WITH LOC ||US6L|||
BU MAPPING||US1J|US_BMBU_IMM|||N|BU MAPPIING WITH LOC ||US6M|||
BU MAPPING||US1J|US_BMBU_IMM|||N|BU MAPPIING WITH LOC ||US6N|||
BU MAPPING||US1R|US_ALZ|||Y|BU MAPPIING WITH LOC ||US1U||
BU MAPPING||US8A|US_LDO|||Y|BU MAPPIING WITH LOC ||US8D||
BU MAPPING||US8A|US_LDO|||Y|BU MAPPIING WITH LOC ||US8E||
BU MAPPING||US8A|US_LDO|||Y|BU MAPPIING WITH LOC ||US8F||
BU MAPPING||USR2|US_OBU|||Y|BU MAPPIING WITH LOC||US7P||
BU MAPPING||USV1|US_BMBU_IMM|||Y|BU MAPPIING WITH LOC ||USV4||
BU MAPPING||USV1|US_BMBU_IMM|||Y|BU MAPPIING WITH LOC ||USV5||
BU MAPPING||USV1|US_BMBU_IMM|||Y|BU MAPPIING WITH LOC ||USV6||
BU MAPPING||USV1|US_BMBU_IMM|||Y|BU MAPPIING WITH LOC ||USV7||
BU MAPPING||USV1|US_BMBU_IMM|||Y|BU MAPPIING WITH LOC ||USV8|||
CALL_CONTENT_MAPPING|US_304528|ACCESS_FORMULARY|101|CONTENT|Access or Formulary|Y|NBA CALL CONTENT TO BE CONFIGURED||||
CALL_CONTENT_MAPPING|US_304528|ACCESS_FORMULARY|70|CONTENT|Access or Formulary|Y|NBA CALL CONTENT TO BE CONFIGURED||||
CALL_CONTENT_MAPPING|US_304528|EFFICACY#COMBINATION_THERAPY|74|CONTENT|Efficacy_Combination Therapy - any + MTX data|Y|NBA CALL CONTENT TO BE CONFIGURED||||
CALL_CONTENT_MAPPING|US_304528|EFFICACY#CORE|105|CONTENT|Efficacy_Core - Complete Clearance||||||
CALL_CONTENT_MAPPING|US_304528|EFFICACY#CORE|1509|CONTENT|Efficacy_Core - SPIRIT P1|Y|NBA CALL CONTENT TO BE CONFIGURED||||
CALL_CONTENT_MAPPING|US_304528|EFFICACY#ENTHESITIS_DACYLITIS|1510|CONTENT|Efficacy_Enthesitis-Dactylitis|Y|NBA CALL CONTENT TO BE CONFIGURED||||
CALL_CONTENT_MAPPING|US_304528|EFFICACY#HEAD_TO_HEAD|1492|CONTENT|Efficacy_Head to Head - vs. Tremfya||||||
CALL_CONTENT_MAPPING|US_304528|EFFICACY#HEAD_TO_HEAD|1511|CONTENT|Efficacy_Head to Head|Y|NBA CALL CONTENT TO BE CONFIGURED||||
CALL_CONTENT_MAPPING|US_304528|EFFICACY#LONG_TERM|1493|CONTENT|Efficacy_Long Term - Durable or 5 year data|Y|NBA CALL CONTENT TO BE CONFIGURED||||
CALL_CONTENT_MAPPING|US_304528|EFFICACY#LONG_TERM|1512|CONTENT|Efficacy_Long Term - 3 year or consistency data|Y|NBA CALL CONTENT TO BE CONFIGURED||||
CALL_CONTENT_MAPPING|US_304528|EFFICACY#PSO_PEDS|1514|CONTENT|Efficacy_Pso - PsO data|Y|NBA CALL CONTENT TO BE CONFIGURED||||
CALL_CONTENT_MAPPING|US_304528|EFFICACY#RAPID_ONSET|1496|CONTENT|Efficacy_Rapid Onset |Y|NBA CALL CONTENT TO BE CONFIGURED||||
