DIMENSION1,DIMENSION2,Prioritization_score
F2F_CALL,ACCESS_FORMULARY,1
F2F_CALL,DEVICE,2
F2F_CALL,DISEASE_STATE,3
F2F_CALL,DOSING,4
F2F_CALL,EASE_OF_ADMINISTRATION,5
F2F_CALL,EFFICACY#CORE,6
F2F_CALL,EFFICACY#HEAD_TO_HEAD,7
F2F_CALL,EFFICACY#LONG_TERM,8
F2F_CALL,EFFICACY#NA,9
F2F_CALL,EFFICACY#NOW_APPROVED,10
F2F_CALL,EFFICACY#RAPID_ONSET,11
F2F_CALL,EFFICACY#SECONDARY,12
F2F_CALL,EFFICACY#STRUCTURE,13
F2F_CALL,GENERAL,14
F2F_CALL,INITIATION,15
F2F_CALL,MOA,16
F2F_CALL,PATIENT_AFFORDABILITY,17
F2F_CALL,PATIENT_CUSTOMER_SUPPORT,18
F2F_CALL,PATIENT_TYPE_IDENTIFICATION,19
F2F_CALL,RESOURCES,20
F2F_CALL,SAFETY#LONG_TERM,21
F2F_CALL,SAFETY#NA,22
F2F_CALL,SAFETY#PSO_ADULTS,23
F2F_CALL,SAFETY#SIDE_EFFECTS,24
F2F_CALL,UNMET_NEED,25
VEEVA_EMAIL,ACCESS_FORMULARY,26
VEEVA_EMAIL,DEVICE,27
VEEVA_EMAIL,DISEASE_STATE,28
VEEVA_EMAIL,DOSING,29
VEEVA_EMAIL,EASE_OF_ADMINISTRATION,30
VEEVA_EMAIL,EFFICACY#CORE,31
VEEVA_EMAIL,EFFICACY#HEAD_TO_HEAD,32
VEEVA_EMAIL,EFFICACY#LONG_TERM,33
VEEVA_EMAIL,EFFICACY#NA,34
VEEVA_EMAIL,EFFICACY#NOW_APPROVED,35
VEEVA_EMAIL,EFFICACY#RAPID_ONSET,36
VEEVA_EMAIL,EFFICACY#SECONDARY,37
VEEVA_EMAIL,EFFICACY#STRUCTURE,38
VEEVA_EMAIL,GENERAL,39
VEEVA_EMAIL,INITIATION,40
VEEVA_EMAIL,MOA,41
VEEVA_EMAIL,PATIENT_AFFORDABILITY,42
VEEVA_EMAIL,PATIENT_CUSTOMER_SUPPORT,43
VEEVA_EMAIL,PATIENT_TYPE_IDENTIFICATION,44
VEEVA_EMAIL,RESOURCES,45
VEEVA_EMAIL,SAFETY#LONG_TERM,46
VEEVA_EMAIL,SAFETY#NA,47
VEEVA_EMAIL,SAFETY#PSO_ADULTS,48
VEEVA_EMAIL,SAFETY#SIDE_EFFECTS,49
VEEVA_EMAIL,UNMET_NEED,50
HQ_EMAIL,ACCESS_FORMULARY,51
HQ_EMAIL,DEVICE,52
HQ_EMAIL,DISEASE_STATE,53
HQ_EMAIL,DOSING,54
HQ_EMAIL,EASE_OF_ADMINISTRATION,55
HQ_EMAIL,EFFICACY#CORE,56
HQ_EMAIL,EFFICACY#HEAD_TO_HEAD,57
HQ_EMAIL,EFFICACY#LONG_TERM,58
HQ_EMAIL,EFFICACY#NA,59
HQ_EMAIL,EFFICACY#NOW_APPROVED,60
HQ_EMAIL,EFFICACY#RAPID_ONSET,61
HQ_EMAIL,EFFICACY#SECONDARY,62
HQ_EMAIL,EFFICACY#STRUCTURE,63
HQ_EMAIL,GENERAL,64
HQ_EMAIL,INITIATION,65
HQ_EMAIL,MOA,66
HQ_EMAIL,PATIENT_AFFORDABILITY,67
HQ_EMAIL,PATIENT_CUSTOMER_SUPPORT,68
HQ_EMAIL,PATIENT_TYPE_IDENTIFICATION,69
HQ_EMAIL,RESOURCES,70
HQ_EMAIL,SAFETY#LONG_TERM,71
HQ_EMAIL,SAFETY#NA,72
HQ_EMAIL,SAFETY#PSO_ADULTS,73
HQ_EMAIL,SAFETY#SIDE_EFFECTS,74
HQ_EMAIL,UNMET_NEED,75
DOXIMITY_ALERT,ACCESS_FORMULARY,76
DOXIMITY_ALERT,DEVICE,77
DOXIMITY_ALERT,DISEASE_STATE,78
DOXIMITY_ALERT,DOSING,79
DOXIMITY_ALERT,EASE_OF_ADMINISTRATION,80
DOXIMITY_ALERT,EFFICACY#CORE,81
DOXIMITY_ALERT,EFFICACY#HEAD_TO_HEAD,82
DOXIMITY_ALERT,EFFICACY#LONG_TERM,83
DOXIMITY_ALERT,EFFICACY#NA,84
DOXIMITY_ALERT,EFFICACY#NOW_APPROVED,85
DOXIMITY_ALERT,EFFICACY#RAPID_ONSET,86
DOXIMITY_ALERT,EFFICACY#SECONDARY,87
DOXIMITY_ALERT,EFFICACY#STRUCTURE,88
DOXIMITY_ALERT,GENERAL,89
DOXIMITY_ALERT,INITIATION,90
DOXIMITY_ALERT,MOA,91
DOXIMITY_ALERT,PATIENT_AFFORDABILITY,92
DOXIMITY_ALERT,PATIENT_CUSTOMER_SUPPORT,93
DOXIMITY_ALERT,PATIENT_TYPE_IDENTIFICATION,94
DOXIMITY_ALERT,RESOURCES,95
DOXIMITY_ALERT,SAFETY#LONG_TERM,96
DOXIMITY_ALERT,SAFETY#NA,97
DOXIMITY_ALERT,SAFETY#PSO_ADULTS,98
DOXIMITY_ALERT,SAFETY#SIDE_EFFECTS,99
DOXIMITY_ALERT,UNMET_NEED,100
DOXIMITY_DOCSPOT,ACCESS_FORMULARY,101
DOXIMITY_DOCSPOT,DEVICE,102
DOXIMITY_DOCSPOT,DISEASE_STATE,103
DOXIMITY_DOCSPOT,DOSING,104
DOXIMITY_DOCSPOT,EASE_OF_ADMINISTRATION,105
DOXIMITY_DOCSPOT,EFFICACY#CORE,106
DOXIMITY_DOCSPOT,EFFICACY#HEAD_TO_HEAD,107
DOXIMITY_DOCSPOT,EFFICACY#LONG_TERM,108
DOXIMITY_DOCSPOT,EFFICACY#NA,109
DOXIMITY_DOCSPOT,EFFICACY#NOW_APPROVED,110
DOXIMITY_DOCSPOT,EFFICACY#RAPID_ONSET,111
DOXIMITY_DOCSPOT,EFFICACY#SECONDARY,112
DOXIMITY_DOCSPOT,EFFICACY#STRUCTURE,113
DOXIMITY_DOCSPOT,GENERAL,114
DOXIMITY_DOCSPOT,INITIATION,115
DOXIMITY_DOCSPOT,MOA,116
DOXIMITY_DOCSPOT,PATIENT_AFFORDABILITY,117
DOXIMITY_DOCSPOT,PATIENT_CUSTOMER_SUPPORT,118
DOXIMITY_DOCSPOT,PATIENT_TYPE_IDENTIFICATION,119
DOXIMITY_DOCSPOT,RESOURCES,120
DOXIMITY_DOCSPOT,SAFETY#LONG_TERM,121
DOXIMITY_DOCSPOT,SAFETY#NA,122
DOXIMITY_DOCSPOT,SAFETY#PSO_ADULTS,123
DOXIMITY_DOCSPOT,SAFETY#SIDE_EFFECTS,124
DOXIMITY_DOCSPOT,UNMET_NEED,125
MEDSCAPE_ALERT,ACCESS_FORMULARY,126
MEDSCAPE_ALERT,DEVICE,127
MEDSCAPE_ALERT,DISEASE_STATE,128
MEDSCAPE_ALERT,DOSING,129
MEDSCAPE_ALERT,EASE_OF_ADMINISTRATION,130
MEDSCAPE_ALERT,EFFICACY#CORE,131
MEDSCAPE_ALERT,EFFICACY#HEAD_TO_HEAD,132
MEDSCAPE_ALERT,EFFICACY#LONG_TERM,133
MEDSCAPE_ALERT,EFFICACY#NA,134
MEDSCAPE_ALERT,EFFICACY#NOW_APPROVED,135
MEDSCAPE_ALERT,EFFICACY#RAPID_ONSET,136
MEDSCAPE_ALERT,EFFICACY#SECONDARY,137
MEDSCAPE_ALERT,EFFICACY#STRUCTURE,138
MEDSCAPE_ALERT,GENERAL,139
MEDSCAPE_ALERT,INITIATION,140
MEDSCAPE_ALERT,MOA,141
MEDSCAPE_ALERT,PATIENT_AFFORDABILITY,142
MEDSCAPE_ALERT,PATIENT_CUSTOMER_SUPPORT,143
MEDSCAPE_ALERT,PATIENT_TYPE_IDENTIFICATION,144
MEDSCAPE_ALERT,RESOURCES,145
MEDSCAPE_ALERT,SAFETY#LONG_TERM,146
MEDSCAPE_ALERT,SAFETY#NA,147
MEDSCAPE_ALERT,SAFETY#PSO_ADULTS,148
MEDSCAPE_ALERT,SAFETY#SIDE_EFFECTS,149
MEDSCAPE_ALERT,UNMET_NEED,150
MEDSCAPE_EMAIL,ACCESS_FORMULARY,151
MEDSCAPE_EMAIL,DEVICE,152
MEDSCAPE_EMAIL,DISEASE_STATE,153
MEDSCAPE_EMAIL,DOSING,154
MEDSCAPE_EMAIL,EASE_OF_ADMINISTRATION,155
MEDSCAPE_EMAIL,EFFICACY#CORE,156
MEDSCAPE_EMAIL,EFFICACY#HEAD_TO_HEAD,157
MEDSCAPE_EMAIL,EFFICACY#LONG_TERM,158
MEDSCAPE_EMAIL,EFFICACY#NA,159
MEDSCAPE_EMAIL,EFFICACY#NOW_APPROVED,160
MEDSCAPE_EMAIL,EFFICACY#RAPID_ONSET,161
MEDSCAPE_EMAIL,EFFICACY#SECONDARY,162
MEDSCAPE_EMAIL,EFFICACY#STRUCTURE,163
MEDSCAPE_EMAIL,GENERAL,164
MEDSCAPE_EMAIL,INITIATION,165
MEDSCAPE_EMAIL,MOA,166
MEDSCAPE_EMAIL,PATIENT_AFFORDABILITY,167
MEDSCAPE_EMAIL,PATIENT_CUSTOMER_SUPPORT,168
MEDSCAPE_EMAIL,PATIENT_TYPE_IDENTIFICATION,169
MEDSCAPE_EMAIL,RESOURCES,170
MEDSCAPE_EMAIL,SAFETY#LONG_TERM,171
MEDSCAPE_EMAIL,SAFETY#NA,172
MEDSCAPE_EMAIL,SAFETY#PSO_ADULTS,173
MEDSCAPE_EMAIL,SAFETY#SIDE_EFFECTS,174
MEDSCAPE_EMAIL,UNMET_NEED,175
MEDSCAPE_POC,ACCESS_FORMULARY,176
MEDSCAPE_POC,DEVICE,177
MEDSCAPE_POC,DISEASE_STATE,178
MEDSCAPE_POC,DOSING,179
MEDSCAPE_POC,EASE_OF_ADMINISTRATION,180
MEDSCAPE_POC,EFFICACY#CORE,181
MEDSCAPE_POC,EFFICACY#HEAD_TO_HEAD,182
MEDSCAPE_POC,EFFICACY#LONG_TERM,183
MEDSCAPE_POC,EFFICACY#NA,184
MEDSCAPE_POC,EFFICACY#NOW_APPROVED,185
MEDSCAPE_POC,EFFICACY#RAPID_ONSET,186
MEDSCAPE_POC,EFFICACY#SECONDARY,187
MEDSCAPE_POC,EFFICACY#STRUCTURE,188
MEDSCAPE_POC,GENERAL,189
MEDSCAPE_POC,INITIATION,190
MEDSCAPE_POC,MOA,191
MEDSCAPE_POC,PATIENT_AFFORDABILITY,192
MEDSCAPE_POC,PATIENT_CUSTOMER_SUPPORT,193
MEDSCAPE_POC,PATIENT_TYPE_IDENTIFICATION,194
MEDSCAPE_POC,RESOURCES,195
MEDSCAPE_POC,SAFETY#LONG_TERM,196
MEDSCAPE_POC,SAFETY#NA,197
