DIMENSION1,DIMENSION2,Prioritization_score
F2F_CALL,ACCESS_FORMULARY,1
F2F_CALL,DEVICE,2
F2F_CALL,DISEASE_STATE,3
F2F_CALL,DOSING,4
F2F_CALL,EASE_OF_ADMINISTRATION,5
F2F_CALL,EFFICACY#COMBINATION_THERAPY,6
F2F_CALL,EFFICACY#CORE,7
F2F_CALL,EFFICACY#ENTHESITIS_DACYLITIS,8
F2F_CALL,EFFICACY#HEAD_TO_HEAD,9
F2F_CALL,EFFICACY#LONG_TERM,10
F2F_CALL,EFFICACY#NA,11
F2F_CALL,EFFICACY#NOW_APPROVED,12
F2F_CALL,EFFICACY#PSO_PEDS,13
F2F_CALL,EFFICACY#RAPID_ONSET,14
F2F_CALL,EFFICACY#SECONDARY,15
F2F_CALL,EFFICACY#SPINAL_PAIN_AND_STIFFNESS,16
F2F_CALL,EFFICACY#STRUCTURE,17
F2F_CALL,GENERAL,18
F2F_CALL,INITIATION,19
F2F_CALL,MOA,20
F2F_CALL,PATIENT_AFFORDABILITY,21
F2F_CALL,PATIENT_CUSTOMER_SUPPORT,22
F2F_CALL,PATIENT_TYPE_IDENTIFICATION,23
F2F_CALL,SAFETY#AS,24
F2F_CALL,SAFETY#HEAD_TO_HEAD,25
F2F_CALL,SAFETY#LONG_TERM,26
F2F_CALL,SAFETY#NA,27
F2F_CALL,SAFETY#NR_AXSPA,28
F2F_CALL,SAFETY#PSA,29
F2F_CALL,SAFETY#PSO_ADULTS,30
F2F_CALL,SAFETY#PSO_PEDS,31
F2F_CALL,SAFETY#SIDE_EFFECTS,32
F2F_CALL,UNMET_NEED,33
VEEVA_EMAIL,ACCESS_FORMULARY,34
VEEVA_EMAIL,DEVICE,35
VEEVA_EMAIL,DISEASE_STATE,36
VEEVA_EMAIL,DOSING,37
VEEVA_EMAIL,EASE_OF_ADMINISTRATION,38
VEEVA_EMAIL,EFFICACY#COMBINATION_THERAPY,39
VEEVA_EMAIL,EFFICACY#CORE,40
VEEVA_EMAIL,EFFICACY#ENTHESITIS_DACYLITIS,41
VEEVA_EMAIL,EFFICACY#HEAD_TO_HEAD,42
VEEVA_EMAIL,EFFICACY#LONG_TERM,43
VEEVA_EMAIL,EFFICACY#NA,44
VEEVA_EMAIL,EFFICACY#NOW_APPROVED,45
VEEVA_EMAIL,EFFICACY#PSO_PEDS,46
VEEVA_EMAIL,EFFICACY#RAPID_ONSET,47
VEEVA_EMAIL,EFFICACY#SECONDARY,48
VEEVA_EMAIL,EFFICACY#SPINAL_PAIN_AND_STIFFNESS,49
VEEVA_EMAIL,EFFICACY#STRUCTURE,50
VEEVA_EMAIL,GENERAL,51
VEEVA_EMAIL,INITIATION,52
VEEVA_EMAIL,MOA,53
VEEVA_EMAIL,PATIENT_AFFORDABILITY,54
VEEVA_EMAIL,PATIENT_CUSTOMER_SUPPORT,55
VEEVA_EMAIL,PATIENT_TYPE_IDENTIFICATION,56
VEEVA_EMAIL,SAFETY#AS,57
VEEVA_EMAIL,SAFETY#HEAD_TO_HEAD,58
VEEVA_EMAIL,SAFETY#LONG_TERM,59
VEEVA_EMAIL,SAFETY#NA,60
VEEVA_EMAIL,SAFETY#NR_AXSPA,61
VEEVA_EMAIL,SAFETY#PSA,62
VEEVA_EMAIL,SAFETY#PSO_ADULTS,63
VEEVA_EMAIL,SAFETY#PSO_PEDS,64
VEEVA_EMAIL,SAFETY#SIDE_EFFECTS,65
VEEVA_EMAIL,UNMET_NEED,66
HQ_EMAIL,ACCESS_FORMULARY,67
HQ_EMAIL,DEVICE,68
HQ_EMAIL,DISEASE_STATE,69
HQ_EMAIL,DOSING,70
HQ_EMAIL,EASE_OF_ADMINISTRATION,71
HQ_EMAIL,EFFICACY#COMBINATION_THERAPY,72
HQ_EMAIL,EFFICACY#CORE,73
HQ_EMAIL,EFFICACY#ENTHESITIS_DACYLITIS,74
HQ_EMAIL,EFFICACY#HEAD_TO_HEAD,75
HQ_EMAIL,EFFICACY#LONG_TERM,76
HQ_EMAIL,EFFICACY#NA,77
HQ_EMAIL,EFFICACY#NOW_APPROVED,78
HQ_EMAIL,EFFICACY#PSO_PEDS,79
HQ_EMAIL,EFFICACY#RAPID_ONSET,80
HQ_EMAIL,EFFICACY#SECONDARY,81
HQ_EMAIL,EFFICACY#SPINAL_PAIN_AND_STIFFNESS,82
HQ_EMAIL,EFFICACY#STRUCTURE,83
HQ_EMAIL,GENERAL,84
HQ_EMAIL,INITIATION,85
HQ_EMAIL,MOA,86
HQ_EMAIL,PATIENT_AFFORDABILITY,87
HQ_EMAIL,PATIENT_CUSTOMER_SUPPORT,88
HQ_EMAIL,PATIENT_TYPE_IDENTIFICATION,89
HQ_EMAIL,SAFETY#AS,90
HQ_EMAIL,SAFETY#HEAD_TO_HEAD,91
HQ_EMAIL,SAFETY#LONG_TERM,92
HQ_EMAIL,SAFETY#NA,93
HQ_EMAIL,SAFETY#NR_AXSPA,94
HQ_EMAIL,SAFETY#PSA,95
HQ_EMAIL,SAFETY#PSO_ADULTS,96
HQ_EMAIL,SAFETY#PSO_PEDS,97
HQ_EMAIL,SAFETY#SIDE_EFFECTS,98
HQ_EMAIL,UNMET_NEED,99
DOXIMITY_ALERT,ACCESS_FORMULARY,100
DOXIMITY_ALERT,DEVICE,101
DOXIMITY_ALERT,DISEASE_STATE,102
DOXIMITY_ALERT,DOSING,103
DOXIMITY_ALERT,EASE_OF_ADMINISTRATION,104
DOXIMITY_ALERT,EFFICACY#COMBINATION_THERAPY,105
DOXIMITY_ALERT,EFFICACY#CORE,106
DOXIMITY_ALERT,EFFICACY#ENTHESITIS_DACYLITIS,107
DOXIMITY_ALERT,EFFICACY#HEAD_TO_HEAD,108
DOXIMITY_ALERT,EFFICACY#LONG_TERM,109
DOXIMITY_ALERT,EFFICACY#NA,110
DOXIMITY_ALERT,EFFICACY#NOW_APPROVED,111
DOXIMITY_ALERT,EFFICACY#PSO_PEDS,112
DOXIMITY_ALERT,EFFICACY#RAPID_ONSET,113
DOXIMITY_ALERT,EFFICACY#SECONDARY,114
DOXIMITY_ALERT,EFFICACY#SPINAL_PAIN_AND_STIFFNESS,115
DOXIMITY_ALERT,EFFICACY#STRUCTURE,116
DOXIMITY_ALERT,GENERAL,117
DOXIMITY_ALERT,INITIATION,118
DOXIMITY_ALERT,MOA,119
DOXIMITY_ALERT,PATIENT_AFFORDABILITY,120
DOXIMITY_ALERT,PATIENT_CUSTOMER_SUPPORT,121
DOXIMITY_ALERT,PATIENT_TYPE_IDENTIFICATION,122
DOXIMITY_ALERT,SAFETY#AS,123
DOXIMITY_ALERT,SAFETY#HEAD_TO_HEAD,124
DOXIMITY_ALERT,SAFETY#LONG_TERM,125
DOXIMITY_ALERT,SAFETY#NA,126
DOXIMITY_ALERT,SAFETY#NR_AXSPA,127
DOXIMITY_ALERT,SAFETY#PSA,128
DOXIMITY_ALERT,SAFETY#PSO_ADULTS,129
DOXIMITY_ALERT,SAFETY#PSO_PEDS,130
DOXIMITY_ALERT,SAFETY#SIDE_EFFECTS,131
DOXIMITY_ALERT,UNMET_NEED,132
DOXIMITY_DOCSPOT,ACCESS_FORMULARY,133
DOXIMITY_DOCSPOT,DEVICE,134
DOXIMITY_DOCSPOT,DISEASE_STATE,135
DOXIMITY_DOCSPOT,DOSING,136
DOXIMITY_DOCSPOT,EASE_OF_ADMINISTRATION,137
DOXIMITY_DOCSPOT,EFFICACY#COMBINATION_THERAPY,138
DOXIMITY_DOCSPOT,EFFICACY#CORE,139
DOXIMITY_DOCSPOT,EFFICACY#ENTHESITIS_DACYLITIS,140
DOXIMITY_DOCSPOT,EFFICACY#HEAD_TO_HEAD,141
DOXIMITY_DOCSPOT,EFFICACY#LONG_TERM,142
DOXIMITY_DOCSPOT,EFFICACY#NA,143
DOXIMITY_DOCSPOT,EFFICACY#NOW_APPROVED,144
DOXIMITY_DOCSPOT,EFFICACY#PSO_PEDS,145
DOXIMITY_DOCSPOT,EFFICACY#RAPID_ONSET,146
DOXIMITY_DOCSPOT,EFFICACY#SECONDARY,147
DOXIMITY_DOCSPOT,EFFICACY#SPINAL_PAIN_AND_STIFFNESS,148
DOXIMITY_DOCSPOT,EFFICACY#STRUCTURE,149
DOXIMITY_DOCSPOT,GENERAL,150
DOXIMITY_DOCSPOT,INITIATION,151
DOXIMITY_DOCSPOT,MOA,152
DOXIMITY_DOCSPOT,PATIENT_AFFORDABILITY,153
DOXIMITY_DOCSPOT,PATIENT_CUSTOMER_SUPPORT,154
DOXIMITY_DOCSPOT,PATIENT_TYPE_IDENTIFICATION,155
DOXIMITY_DOCSPOT,SAFETY#AS,156
DOXIMITY_DOCSPOT,SAFETY#HEAD_TO_HEAD,157
DOXIMITY_DOCSPOT,SAFETY#LONG_TERM,158
DOXIMITY_DOCSPOT,SAFETY#NA,159
DOXIMITY_DOCSPOT,SAFETY#NR_AXSPA,160
DOXIMITY_DOCSPOT,SAFETY#PSA,161
DOXIMITY_DOCSPOT,SAFETY#PSO_ADULTS,162
DOXIMITY_DOCSPOT,SAFETY#PSO_PEDS,163
DOXIMITY_DOCSPOT,SAFETY#SIDE_EFFECTS,164
DOXIMITY_DOCSPOT,UNMET_NEED,165
MEDSCAPE_ALERT,ACCESS_FORMULARY,166
MEDSCAPE_ALERT,DEVICE,167
MEDSCAPE_ALERT,DISEASE_STATE,168
MEDSCAPE_ALERT,DOSING,169
MEDSCAPE_ALERT,EASE_OF_ADMINISTRATION,170
MEDSCAPE_ALERT,EFFICACY#COMBINATION_THERAPY,171
MEDSCAPE_ALERT,EFFICACY#CORE,172
MEDSCAPE_ALERT,EFFICACY#ENTHESITIS_DACYLITIS,173
MEDSCAPE_ALERT,EFFICACY#HEAD_TO_HEAD,174
MEDSCAPE_ALERT,EFFICACY#LONG_TERM,175
MEDSCAPE_ALERT,EFFICACY#NA,176
MEDSCAPE_ALERT,EFFICACY#NOW_APPROVED,177
MEDSCAPE_ALERT,EFFICACY#PSO_PEDS,178
MEDSCAPE_ALERT,EFFICACY#RAPID_ONSET,179
MEDSCAPE_ALERT,EFFICACY#SECONDARY,180
MEDSCAPE_ALERT,EFFICACY#SPINAL_PAIN_AND_STIFFNESS,181
MEDSCAPE_ALERT,EFFICACY#STRUCTURE,182
MEDSCAPE_ALERT,GENERAL,183
MEDSCAPE_ALERT,INITIATION,184
MEDSCAPE_ALERT,MOA,185
MEDSCAPE_ALERT,PATIENT_AFFORDABILITY,186
MEDSCAPE_ALERT,PATIENT_CUSTOMER_SUPPORT,187
MEDSCAPE_ALERT,PATIENT_TYPE_IDENTIFICATION,188
MEDSCAPE_ALERT,SAFETY#AS,189
MEDSCAPE_ALERT,SAFETY#HEAD_TO_HEAD,190
