PARAMETER_TYPE|PARAMETER_VALUE|CONFIG_TYPE|CONFIG_VALUE|ATTRIBUTE_NAME1|ATTRIBUTE_VALUE1|ATTRIBUTE_NAME2|ATTRIBUTE_VALUE2|ATTRIBUTE_NAME3|ATTRIBUTE_VALUE3|ACTIVE|DESCRIPTION
ATTRIBUTE_CONSTRAINTS_PROD_POS|SEGMENT|DUMMY|VAE|US_304528_DS150|P1|BIAD_HYB1|0|0|2|Y|
ATTRIBUTE_CONSTRAINTS_PROD_POS|SEGMENT|DUMMY|VAE|US_304528_DS150|P1|BIAD_HYB2|0|0|2|Y|
ATTRIBUTE_CONSTRAINTS_PROD_POS|SEGMENT|DUMMY|VAE|US_304528_DS150|P1|DERM_1|0|0|2|Y|
ATTRIBUTE_CONSTRAINTS_PROD_POS|SEGMENT|DUMMY|VAE|US_304528_DS150|P1|DERM_2|0|0|2|Y|
ATTRIBUTE_CONSTRAINTS_PROD_POS|SEGMENT|DUMMY|VAE|US_304528_DS150|P1|UNAD_HYB|0|0|2|Y|
ATTRIBUTE_CONSTRAINTS_PROD_POS|SEGMENT|DUMMY|VAE|US_304528_DS152|P1|BIAD_HYB1|0|0|2|Y|
ATTRIBUTE_CONSTRAINTS_PROD_POS|SEGMENT|DUMMY|VAE|US_304528_DS152|P1|BIAD_HYB2|0|0|2|Y|
ATTRIBUTE_CONSTRAINTS_PROD_POS|SEGMENT|DUMMY|VAE|US_304528_DS152|P1|RHEUM_1|0|0|2|Y|
ATTRIBUTE_CONSTRAINTS_PROD_POS|SEGMENT|DUMMY|VAE|US_304528_DS152|P1|RHEUM_2|0|0|2|Y|
ATTRIBUTE_CONSTRAINTS_PROD_POS|SEGMENT|DUMMY|VAE|US_304528_DS152|P1|UNAD_HYB|0|0|2|Y|
ATTRIBUTE_CONSTRAINTS_PROD_POS|SEGMENT|DUMMY|VAE|US_304547_598010|P1|BIAD_HYB1|0|0|2|Y|
ATTRIBUTE_CONSTRAINTS_PROD_POS|SEGMENT|DUMMY|VAE|US_304547_598010|P1|BIAD_HYB2|0|0|2|Y|
ATTRIBUTE_CONSTRAINTS_PROD_POS|SEGMENT|DUMMY|VAE|US_304547_598010|P1|DERM_1|0|0|2|Y|
ATTRIBUTE_CONSTRAINTS_PROD_POS|SEGMENT|DUMMY|VAE|US_304547_598010|P1|DERM_2|0|0|2|Y|
ATTRIBUTE_CONSTRAINTS_PROD_POS|SEGMENT|DUMMY|VAE|US_304547_598010|P1|RHEUM_1|0|0|2|Y|
ATTRIBUTE_CONSTRAINTS_PROD_POS|SEGMENT|DUMMY|VAE|US_304547_598010|P1|RHEUM_2|0|0|2|Y|
ATTRIBUTE_CONSTRAINTS_PROD_POS|SEGMENT|DUMMY|VAE|US_304547_598010|P1|UNAD_HYB|0|0|2|Y|
ATTRIBUTE_CONSTRAINTS|SEGMENT|DUMMY|CALL|MIN_TPS|0|ATTRIBUTE_MIN_THRESHOLD|0|MAX_TPS|6|Y|
ATTRIBUTE_CONSTRAINTS|SEGMENT|DUMMY|VAE|MIN_TPS|0|ATTRIBUTE_MIN_THRESHOLD|0|MAX_TPS|4|Y|
GLOBAL_ATTRIBUTE_LEVEL_CONSTRAINTS|SEGMENT|DUMMY|CALL|US_304528_DS150|P1|0|6|0|BIAD_HYB1|Y|
GLOBAL_ATTRIBUTE_LEVEL_CONSTRAINTS|SEGMENT|DUMMY|CALL|US_304528_DS150|P1|0|6|0|BIAD_HYB2|Y|
GLOBAL_ATTRIBUTE_LEVEL_CONSTRAINTS|SEGMENT|DUMMY|CALL|US_304528_DS150|P1|0|6|0|DERM_1|Y|
GLOBAL_ATTRIBUTE_LEVEL_CONSTRAINTS|SEGMENT|DUMMY|CALL|US_304528_DS150|P1|0|6|0|DERM_2|Y|
GLOBAL_ATTRIBUTE_LEVEL_CONSTRAINTS|SEGMENT|DUMMY|CALL|US_304528_DS150|P1|0|6|0|UNAD_HYB|Y|
GLOBAL_ATTRIBUTE_LEVEL_CONSTRAINTS|SEGMENT|DUMMY|CALL|US_304528_DS150|P2|0|6|0|BIAD_HYB1|Y|
GLOBAL_ATTRIBUTE_LEVEL_CONSTRAINTS|SEGMENT|DUMMY|CALL|US_304528_DS150|P2|0|6|0|BIAD_HYB2|Y|
GLOBAL_ATTRIBUTE_LEVEL_CONSTRAINTS|SEGMENT|DUMMY|CALL|US_304528_DS150|P2|0|6|0|DERM_1|Y|
GLOBAL_ATTRIBUTE_LEVEL_CONSTRAINTS|SEGMENT|DUMMY|CALL|US_304528_DS150|P2|0|6|0|DERM_2|Y|
GLOBAL_ATTRIBUTE_LEVEL_CONSTRAINTS|SEGMENT|DUMMY|CALL|US_304528_DS150|P2|0|6|0|UNAD_HYB|Y|
GLOBAL_ATTRIBUTE_LEVEL_CONSTRAINTS|SEGMENT|DUMMY|CALL|US_304528_DS150||0|6|0|BIAD_HYB1|Y|
GLOBAL_ATTRIBUTE_LEVEL_CONSTRAINTS|SEGMENT|DUMMY|CALL|US_304528_DS150||0|6|0|BIAD_HYB2|Y|
GLOBAL_ATTRIBUTE_LEVEL_CONSTRAINTS|SEGMENT|DUMMY|CALL|US_304528_DS150||0|6|0|DERM_1|Y|
