brand,indication,channel,email_template_vault_id,email_fragment_vault_id,customer_segment,tactic_start_date,tactic_end_date,tactic_expiration_date,content_category,content_sub_category,department,email_template_name_in_rep_text,email_fragment_name_in_rep_text
Emgality,Migraine,VEEVA_EMAIL,1412337,,Critical;High;Medium;Low;Non-Targets;NPP_NON_TARGET,5/2/2022,2/28/2025,2/28/2025,Access or Formulary,NA,Retail,Commercial Access,
Emgality,Migraine,VEEVA_EMAIL,948799,1044579,Critical;High;Medium;Low;Non-Targets;NPP_NON_TARGET,5/2/2022,5/31/2023,12/31/2023,Efficacy,Core,Retail,Emgality Core Message,Episodic Migraine Efficacy
Emgality,Migraine,VEEVA_EMAIL,948799,1044580,Critical;High;Medium;Low;Non-Targets;NPP_NON_TARGET,5/2/2022,5/31/2023,12/31/2023,Efficacy,Core,Retail,Emgality Core Message,MSQ Data
Emgality,Migraine,VEEVA_EMAIL,948799,1044603,Critical;High;Medium;Low;Non-Targets;NPP_NON_TARGET,5/2/2022,5/31/2023,12/31/2023,Safety,Long Term,Retail,Emgality Core Message,Migraine Safety
Retevmo,Lung,VEEVA_EMAIL,1273496,,NICK;SINGLETON;NPP_NON_TARGET,2/13/2023,2/28/2025,2/28/2025,Unmet Need,,Retail,NSCLC Unmet Need free text Dr Singleton PP-SE-US-0955,
Retevmo,Overall,VEEVA_EMAIL,1273496,,NICK;SINGLETON;NPP_NON_TARGET,2/20/2023,2/28/2025,2/28/2025,Unmet Need,,Retail,NSCLC Unmet Need free text Dr Singleton PP-SE-US-0955,
Retevmo,Overall,VEEVA_EMAIL,1006081,1002237,NICK;SINGLETON;THEO;AGNOSTIC;NPP_NON_TARGET,10/4/2021,8/31/2023,8/31/2023,Diagnostic,n/a,Retail,RET Resources - Free Text VAE  (PP-SE-US-0741),Digital Testing Leave Behind
Retevmo,Overall,VEEVA_EMAIL,1017401,,NICK;SINGLETON;NPP_NON_TARGET,10/4/2021,5/31/2023,5/31/2023,Efficacy,NSCLC Cwl,Retail,RET NSCLC Efficacy VAE PP-SE-US-0721,
Retevmo,Thyroid,VEEVA_EMAIL,1006081,992646,NICK;SINGLETON;THEO;NPP_NON_TARGET,12/19/2022,8/31/2023,8/31/2023,Efficacy,Thyroid,Retail,RET Resources VAE - Free Text   (PP-SE-US-0741),Thyroid Leave Behind
Taltz,Psoriasis,VEEVA_EMAIL,1016268,,Psoriatic Explorers;Practical Treaters;Confined Advocates;NA;NPP_NON_TARGET;APP,5/2/2022,12/31/2023,12/31/2023,Access or Formulary,,Retail,IX-PAY-Taltz Derm Favorable Access VAE,
Taltz,Psoriasis,VEEVA_EMAIL,1155370,,Psoriatic Explorers;Practical Treaters;Confined Advocates;NA;NPP_NON_TARGET;APP,5/2/2022,12/31/2023,12/31/2023,Patient or Customer support,,Retail,IX-HCP-DERM-Taltz Together VAE 2022,
Taltz,Psoriasis,VEEVA_EMAIL,1324582,1117935,Psoriatic Explorers;Practical Treaters;Confined Advocates;NA;NPP_NON_TARGET;APP,11/7/2022,12/31/2023,12/31/2023,Efficacy,Head to Head,Retail,IX-HCP-DERM Efficacy H2H VAE - 2022,
Taltz,Psoriasis,VEEVA_EMAIL,1324582,937835,Psoriatic Explorers;Practical Treaters;Confined Advocates;NA;NPP_NON_TARGET;APP,11/7/2022,12/31/2023,12/31/2023,Efficacy,Head to Head,Retail,IX-HCP-DERM Efficacy H2H VAE - 2022,
Taltz,Psoriasis,VEEVA_EMAIL,1324582,937837,Psoriatic Explorers;Practical Treaters;Confined Advocates;NA;NPP_NON_TARGET;APP,11/7/2022,12/31/2023,12/31/2023,Efficacy,Head to Head,Retail,IX-HCP-DERM Efficacy H2H VAE - 2022,
Taltz,Psoriasis,VEEVA_EMAIL,1324589,1210729,Psoriatic Explorers;Practical Treaters;Confined Advocates;NA;NPP_NON_TARGET;APP,11/7/2022,12/31/2023,12/31/2023,Efficacy,Secondary,Retail,IX-HCP-Derm Efficacy VAE 2022,
Taltz,Psoriasis,VEEVA_EMAIL,1324589,928847,Psoriatic Explorers;Practical Treaters;Confined Advocates;NA;NPP_NON_TARGET;APP,11/7/2022,3/17/2023,3/17/2023,Efficacy,Core,Retail,IX-HCP-Derm Efficacy VAE 2022,
Taltz,Psoriasis,VEEVA_EMAIL,1324589,928853,Psoriatic Explorers;Practical Treaters;Confined Advocates;NA;NPP_NON_TARGET;APP,11/7/2022,12/31/2023,12/31/2023,Efficacy,Rapid Onset,Retail,IX-HCP-Derm Efficacy VAE 2022,
Taltz,Psoriasis,VEEVA_EMAIL,1324597,,Psoriatic Explorers;Practical Treaters;Confined Advocates;NA;NPP_NON_TARGET;APP,11/7/2022,12/31/2023,12/31/2023,Patient Type or Identification,,Retail,IX-HCP-DERM Patient Profile VAE - 2022,
Taltz,Psoriatic Arthritis,VEEVA_EMAIL,1003344,,Dr. Domains;Dr. Joint Only;Dr. Ease of Access;Dr. TnF;NA;NPP_NON_TARGET;APP,5/2/2022,12/31/2023,12/31/2023,Efficacy,Secondary,Retail,IX-HCP-Rheum All Segment Spirit P2 3 year ACR 20/50/70 VAE_v2_Q3 2021 ,
Taltz,Psoriatic Arthritis,VEEVA_EMAIL,1016260,,Dr. Domains;Dr. Joint Only;Dr. Ease of Access;Dr. TnF;NA;NPP_NON_TARGET;APP,5/2/2022,12/31/2023,12/31/2023,Access or Formulary,Core,Retail,IX-PAY-Taltz Rheum Favorable Access VAE,
Taltz,Psoriatic Arthritis,VEEVA_EMAIL,1021690,,Dr. Domains;Dr. Joint Only;Dr. Ease of Access;Dr. TnF;NA;NPP_NON_TARGET;APP,5/2/2022,12/31/2023,12/31/2023,Efficacy,Head to Head,Retail,IX-HCP-Rheum Dr. D Spirit H2H ACR50 VAE_Q3 2021_v.2,
