File_Country_Prefix,File_Name,extension,Source_Copy_Level,Source_Location,Target_Location,Source,Frequency,FTP_HOST,FTP_PORT,FTP_USERNAME,FTP_PASSWORD,TDEC_BKT,TDEC_BKT_ASSUME_ROLE,INTERNAL_DATA_LAKE_BKT,Folder_Level_Trim
US,US_IMM_PI_MODEL_INSIGHTS_,.txt000.gz,File,s3://aws-a0188-use1-00-p-s3b-lily-vdt-int-lily-tdec01/in/Dynamic_Targeting/,00_RAW_FILES/PREDECTIVE_MODEL_INSIGHTS/US_IMM_PI_MODEL_INSIGHTS/,TDEC,Friday,NA,NA,NA,NA,aws-a0188-use1-00-p-s3b-lily-vdt-int-lily-tdec01,arn:aws:iam::863029033211:role/aws-a0188-use1-00-p-rol-shrd-shr-s3b01,aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03,21
US,US_OLUMIANT_HCP_RESPONSE_CURVE_CALLS_,.txt000.gz,File,s3://aws-a0188-use1-00-p-s3b-lily-vdt-int-lily-tdec01/in/Dynamic_Targeting/,00_RAW_FILES/HCP_RESPONSE_CURVE/US_OLUMIANT_HCP_RESPONSE_CURVE_CALL/,TDEC,Friday,NA,NA,NA,NA,aws-a0188-use1-00-p-s3b-lily-vdt-int-lily-tdec01,arn:aws:iam::863029033211:role/aws-a0188-use1-00-p-rol-shrd-shr-s3b01,aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03,21
US,US_OLUMIANT_HCP_RESPONSE_CURVE_VAE_,.txt000.gz,File,s3://aws-a0188-use1-00-p-s3b-lily-vdt-int-lily-tdec01/in/Dynamic_Targeting/,00_RAW_FILES/HCP_RESPONSE_CURVE/US_OLUMIANT_HCP_RESPONSE_CURVE_VAE/,TDEC,Friday,NA,NA,NA,NA,aws-a0188-use1-00-p-s3b-lily-vdt-int-lily-tdec01,arn:aws:iam::863029033211:role/aws-a0188-use1-00-p-rol-shrd-shr-s3b01,aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03,21
US,US_TALTZ_PSA_HCP_RESPONSE_CURVE_CALLS_,.txt000.gz,File,s3://aws-a0188-use1-00-p-s3b-lily-vdt-int-lily-tdec01/in/Dynamic_Targeting/,00_RAW_FILES/HCP_RESPONSE_CURVE/US_TALTZ_PSA_HCP_RESPONSE_CURVE_CALL/,TDEC,Friday,NA,NA,NA,NA,aws-a0188-use1-00-p-s3b-lily-vdt-int-lily-tdec01,arn:aws:iam::863029033211:role/aws-a0188-use1-00-p-rol-shrd-shr-s3b01,aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03,21
US,US_TALTZ_PSA_HCP_RESPONSE_CURVE_VAE_,.txt000.gz,File,s3://aws-a0188-use1-00-p-s3b-lily-vdt-int-lily-tdec01/in/Dynamic_Targeting/,00_RAW_FILES/HCP_RESPONSE_CURVE/US_TALTZ_PSA_HCP_RESPONSE_CURVE_VAE/,TDEC,Friday,NA,NA,NA,NA,aws-a0188-use1-00-p-s3b-lily-vdt-int-lily-tdec01,arn:aws:iam::863029033211:role/aws-a0188-use1-00-p-rol-shrd-shr-s3b01,aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03,21
US,US_TALTZ_PSO_HCP_RESPONSE_CURVE_CALLS_,.txt000.gz,File,s3://aws-a0188-use1-00-p-s3b-lily-vdt-int-lily-tdec01/in/Dynamic_Targeting/,00_RAW_FILES/HCP_RESPONSE_CURVE/US_TALTZ_PSO_HCP_RESPONSE_CURVE_CALL/,TDEC,Friday,NA,NA,NA,NA,aws-a0188-use1-00-p-s3b-lily-vdt-int-lily-tdec01,arn:aws:iam::863029033211:role/aws-a0188-use1-00-p-rol-shrd-shr-s3b01,aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03,21
US,US_TALTZ_PSO_HCP_RESPONSE_CURVE_VAE_,.txt000.gz,File,s3://aws-a0188-use1-00-p-s3b-lily-vdt-int-lily-tdec01/in/Dynamic_Targeting/,00_RAW_FILES/HCP_RESPONSE_CURVE/US_TALTZ_PSO_HCP_RESPONSE_CURVE_VAE/,TDEC,Friday,NA,NA,NA,NA,aws-a0188-use1-00-p-s3b-lily-vdt-int-lily-tdec01,arn:aws:iam::863029033211:role/aws-a0188-use1-00-p-rol-shrd-shr-s3b01,aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03,21
US,US_OLUMIANT_AA_TRIGGERS_METRICS_,.txt000.gz,File,s3://aws-a0188-use1-00-p-s3b-lily-vdt-int-lily-tdec01/in/Dynamic_Targeting/,00_RAW_FILES/MASTER/OLUMIANT_AA_TRIGGER/,TDEC,Friday,NA,NA,NA,NA,aws-a0188-use1-00-p-s3b-lily-vdt-int-lily-tdec01,arn:aws:iam::863029033211:role/aws-a0188-use1-00-p-rol-shrd-shr-s3b01,aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03,21
US,US_SAMPLES_,.txt,File,s3://aws-a0188-use1-00-p-s3b-lily-vdt-int-lily-tdec01/in/,00_RAW_FILES/MASTER/SAMPLES/,TDEC,Friday,NA,NA,NA,NA,aws-a0188-use1-00-p-s3b-lily-vdt-int-lily-tdec01,arn:aws:iam::863029033211:role/aws-a0188-use1-00-p-rol-shrd-shr-s3b01,aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03,3
US,US_OLUMIANT_HCP_ATTRIBUTES_,.txt000.gz,File,s3://aws-a0188-use1-00-p-s3b-lily-vdt-int-lily-tdec01/in/Dynamic_Targeting/,00_RAW_FILES/MASTER/OLUMIANT_HCP_ATTRIBUTE/,TDEC,Friday,NA,NA,NA,NA,aws-a0188-use1-00-p-s3b-lily-vdt-int-lily-tdec01,arn:aws:iam::863029033211:role/aws-a0188-use1-00-p-rol-shrd-shr-s3b01,aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03,21
